"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"ArrayStack","org.apache.commons.collections4.ArrayStack(initialSize)","ConditionKind.PARAM","initialSize","ConditionKind.PARAM","initialSize","","assert args[0] >= 0;","AssertionRelation.UNEXPECTED",""
"ArrayStack","org.apache.commons.collections4.ArrayStack(initialSize)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[0]<0;","assert args[0] < 0;","AssertionRelation.IDENTICAL",""
"ArrayStack","empty()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert receiverObjectID.isEmpty() ? methodResultID == true : methodResultID == false;","assert methodResultID == !receiverObjectID.isEmpty();","AssertionRelation.DUAL",""
"ArrayStack","peek()","ConditionKind.THROWS","EmptyStackException","ConditionKind.THROWS","EmptyStackException","assert receiverObjectID.isEmpty();","assert receiverObjectID.empty();","AssertionRelation.INCOMPARABLE",""
"ArrayStack","peek()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null && !receiverObjectID.empty();","AssertionRelation.UNEXPECTED",""
"ArrayStack","peek(n)","ConditionKind.PARAM","n","ConditionKind.PARAM","n","","assert args[0] >= 0;","AssertionRelation.UNEXPECTED",""
"ArrayStack","peek(n)","ConditionKind.THROWS","EmptyStackException","ConditionKind.THROWS","EmptyStackException","","assert args[0] >= receiverObjectID.size() || receiverObjectID.empty();","AssertionRelation.UNEXPECTED",""
"ArrayStack","peek(n)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID == receiverObjectID.peek(args[0]);","AssertionRelation.UNEXPECTED",""
"ArrayStack","pop()","ConditionKind.THROWS","EmptyStackException","ConditionKind.THROWS","EmptyStackException","assert receiverObjectID.isEmpty();","assert receiverObjectID.empty();","AssertionRelation.INCOMPARABLE",""
"ArrayStack","pop()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert methodResultID != null && !receiverObjectID.empty();","AssertionRelation.UNEXPECTED",""
"ArrayStack","push(item)","ConditionKind.PARAM","item","ConditionKind.PARAM","item","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"ArrayStack","push(item)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID.equals(args[0]);","assert methodResultID == args[0];","AssertionRelation.EQUIVALENT",""
"ArrayStack","search(object)","ConditionKind.PARAM","object","ConditionKind.PARAM","object","","assert args[0] != null;","AssertionRelation.UNEXPECTED",""
"ArrayStack","search(object)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert (methodResultID == -1) || (receiverObjectID.search(args[0]) == methodResultID);","AssertionRelation.UNEXPECTED",""
