"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"BagUtils","synchronizedBag(bag)","ConditionKind.PARAM","bag","ConditionKind.PARAM","bag","assert (args[0] == null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","synchronizedBag(bag)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0] == null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
"BagUtils","synchronizedBag(bag)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert methodResultID == receiverObjectID.synchronizedBag(args[0]);","assert methodResultID == receiverObjectID.synchronizedBag(args[0]);","AssertionRelation.IDENTICAL",""
"BagUtils","unmodifiableBag(bag)","ConditionKind.PARAM","bag","ConditionKind.PARAM","bag","assert (args[0] == null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","unmodifiableBag(bag)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0] == null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
"BagUtils","unmodifiableBag(bag)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert methodResultID == receiverObjectID.unmodifiableBag(args[0]);","assert methodResultID == receiverObjectID.unmodifiableBag(args[0]);","AssertionRelation.IDENTICAL",""
"BagUtils","predicatedBag(bag predicate)","ConditionKind.PARAM","bag","ConditionKind.PARAM","bag","assert (args[0] == null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","predicatedBag(bag predicate)","ConditionKind.PARAM","predicate","ConditionKind.PARAM","predicate","assert (args[1] == null) == false;","assert (args[1] == null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","predicatedBag(bag predicate)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0] == null || args[1] == null;","assert args[0] == null || args[1] == null;","AssertionRelation.IDENTICAL",""
"BagUtils","predicatedBag(bag predicate)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert methodResultID == !receiverObjectID.containsAll(args[0], args[1]);","assert methodResultID == !receiverObjectID.containsAll(args[0], args[1]);","AssertionRelation.IDENTICAL",""
"BagUtils","transformingBag(bag transformer)","ConditionKind.PARAM","bag","ConditionKind.PARAM","bag","assert (args[0] == null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","transformingBag(bag transformer)","ConditionKind.PARAM","transformer","ConditionKind.PARAM","transformer","assert (args[1] == null) == false;","assert (args[1] == null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","transformingBag(bag transformer)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0] == null || args[1] == null;","assert args[0] == null || args[1] == null;","AssertionRelation.IDENTICAL",""
"BagUtils","transformingBag(bag transformer)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert methodResultID == receiverObjectID.transformingBag(args[0], args[1]);","assert methodResultID == receiverObjectID.transformingBag(args[0], args[1]);","AssertionRelation.IDENTICAL",""
"BagUtils","collectionBag(bag)","ConditionKind.PARAM","bag","ConditionKind.PARAM","bag","assert (args[0] == null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","collectionBag(bag)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0] == null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
"BagUtils","collectionBag(bag)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert methodResultID == args[0];","assert methodResultID == args[0];","AssertionRelation.IDENTICAL",""
"BagUtils","synchronizedSortedBag(bag)","ConditionKind.PARAM","bag","ConditionKind.PARAM","bag","assert (args[0] == null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","synchronizedSortedBag(bag)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0] == null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
"BagUtils","synchronizedSortedBag(bag)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert methodResultID == receiverObjectID.synchronizedSortedBag(args[0]);","assert methodResultID == receiverObjectID.synchronizedSortedBag(args[0]);","AssertionRelation.IDENTICAL",""
"BagUtils","unmodifiableSortedBag(bag)","ConditionKind.PARAM","bag","ConditionKind.PARAM","bag","assert (args[0] == null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","unmodifiableSortedBag(bag)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0] == null;","assert args[0] == null;","AssertionRelation.IDENTICAL",""
"BagUtils","unmodifiableSortedBag(bag)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert methodResultID == receiverObjectID.unmodifiableSortedBag(args[0]);","assert methodResultID == receiverObjectID.unmodifiableSortedBag(args[0]);","AssertionRelation.IDENTICAL",""
"BagUtils","predicatedSortedBag(bag predicate)","ConditionKind.PARAM","bag","ConditionKind.PARAM","bag","assert (args[0] == null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","predicatedSortedBag(bag predicate)","ConditionKind.PARAM","predicate","ConditionKind.PARAM","predicate","assert (args[1] == null) == false;","assert (args[1] == null) == false;","AssertionRelation.IDENTICAL",""
"BagUtils","predicatedSortedBag(bag predicate)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0] == null || args[1] == null;","assert args[0] == null || args[1] == null;","AssertionRelation.IDENTICAL",""
"BagUtils","predicatedSortedBag(bag predicate)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert methodResultID == receiverObjectID.predicatedBag(args[0], args[1]);","assert methodResultID == receiverObjectID.predicatedBag(args[0], args[1]);","AssertionRelation.IDENTICAL",""
"BagUtils","transformingSortedBag(bag transformer)","ConditionKind.PARAM","bag","ConditionKind.PARAM","bag","assert (args[0] == null) == false;","assert (args[0] == null) == false;","AssertionRelation.IDENTICAL",""
