"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"CollectionUtils","emptyCollection()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID.equals(receiverObjectID.EMPTY_COLLECTION);","assert true ? methodResultID.equals(receiverObjectID.EMPTY_COLLECTION);","AssertionRelation.IDENTICAL",""
"CollectionUtils","emptyIfNull(collection)","ConditionKind.PARAM","collection","ConditionKind.PARAM","collection","","","AssertionRelation.EMPTY",""
"CollectionUtils","emptyIfNull(collection)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[0]==null ? methodResultID.equals(org.apache.commons.collections4.CollectionUtils.emptyCollection());","","AssertionRelation.MISSING",""
"CollectionUtils","union(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","union(a b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","assert (args[1]==null) == false;","assert (args[1]==null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","union(a b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CollectionUtils","intersection(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","intersection(a b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","assert (args[1]==null) == false;","assert (args[1]==null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","intersection(a b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CollectionUtils","disjunction(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","disjunction(a b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","assert (args[1]==null) == false;","assert (args[1]==null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","disjunction(a b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CollectionUtils","subtract(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","subtract(a b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","assert (args[1]==null) == false;","assert (args[1]==null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","subtract(a b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CollectionUtils","subtract(a b p)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","subtract(a b p)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","assert (args[1]==null) == false;","assert (args[1]==null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","subtract(a b p)","ConditionKind.PARAM","p","ConditionKind.PARAM","p","","","AssertionRelation.EMPTY",""
"CollectionUtils","subtract(a b p)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CollectionUtils","containsAll(coll1 coll2)","ConditionKind.PARAM","coll1","ConditionKind.PARAM","coll1","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","containsAll(coll1 coll2)","ConditionKind.PARAM","coll2","ConditionKind.PARAM","coll2","assert (args[1]==null) == false;","assert (args[1]==null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","containsAll(coll1 coll2)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CollectionUtils","containsAny(coll1 coll2)","ConditionKind.PARAM","coll1","ConditionKind.PARAM","coll1","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","containsAny(coll1 coll2)","ConditionKind.PARAM","coll2","ConditionKind.PARAM","coll2","assert (args[1]==null) == false;","assert (args[1]==null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","containsAny(coll1 coll2)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CollectionUtils","getCardinalityMap(coll)","ConditionKind.PARAM","coll","ConditionKind.PARAM","coll","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","getCardinalityMap(coll)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CollectionUtils","isSubCollection(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","isSubCollection(a b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","assert (args[1]==null) == false;","assert (args[1]==null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","isSubCollection(a b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CollectionUtils","isProperSubCollection(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","isProperSubCollection(a b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","assert (args[1]==null) == false;","assert (args[1]==null) == false;","AssertionRelation.IDENTICAL",""
"CollectionUtils","isProperSubCollection(a b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert org.apache.commons.collections4.CollectionUtils.isSubCollection(args[0],args[1]) ? methodResultID == true : methodResultID == false;","AssertionRelation.UNEXPECTED",""
"CollectionUtils","isEqualCollection(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
