"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"CollectionBag","org.apache.commons.collections4.bag.CollectionBag(bag)","ConditionKind.PARAM","bag","ConditionKind.PARAM","bag","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"CollectionBag","org.apache.commons.collections4.bag.CollectionBag(bag)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"CollectionBag","collectionBag(bag)","ConditionKind.PARAM","bag","ConditionKind.PARAM","bag","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"CollectionBag","collectionBag(bag)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"CollectionBag","collectionBag(bag)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CollectionBag","containsAll(coll)","ConditionKind.PARAM","coll","ConditionKind.PARAM","coll","","","AssertionRelation.EMPTY",""
"CollectionBag","containsAll(coll)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CollectionBag","add(object)","ConditionKind.PARAM","object","ConditionKind.PARAM","object","","","AssertionRelation.EMPTY",""
"CollectionBag","add(object)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID==true;","assert true ? methodResultID==true;","AssertionRelation.IDENTICAL",""
"CollectionBag","remove(object)","ConditionKind.PARAM","object","ConditionKind.PARAM","object","","","AssertionRelation.EMPTY",""
"CollectionBag","remove(object)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CollectionBag","removeAll(coll)","ConditionKind.PARAM","coll","ConditionKind.PARAM","coll","","","AssertionRelation.EMPTY",""
"CollectionBag","removeAll(coll)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CollectionBag","retainAll(coll)","ConditionKind.PARAM","coll","ConditionKind.PARAM","coll","","","AssertionRelation.EMPTY",""
"CollectionBag","retainAll(coll)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CollectionBag","add(object count)","ConditionKind.PARAM","object","ConditionKind.PARAM","object","","","AssertionRelation.EMPTY",""
"CollectionBag","add(object count)","ConditionKind.PARAM","count","ConditionKind.PARAM","count","","","AssertionRelation.EMPTY",""
"CollectionBag","add(object count)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID==true;","assert true ? methodResultID==true;","AssertionRelation.IDENTICAL",""
