"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"FixedOrderComparator","FixedOrderComparator(items)","ConditionKind.PARAM","items","ConditionKind.PARAM","items","","","AssertionRelation.EMPTY",""
"FixedOrderComparator","FixedOrderComparator(items)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"FixedOrderComparator","FixedOrderComparator(items)","ConditionKind.PARAM","items","ConditionKind.PARAM","items","","","AssertionRelation.EMPTY",""
"FixedOrderComparator","FixedOrderComparator(items)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"FixedOrderComparator","isLocked()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FixedOrderComparator","checkLocked()","ConditionKind.THROWS","UnsupportedOperationException","ConditionKind.THROWS","UnsupportedOperationException","assert receiverObjectID.isLocked();","assert receiverObjectID.isLocked();","AssertionRelation.IDENTICAL",""
"FixedOrderComparator","getUnknownObjectBehavior()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID.equals(org.apache.commons.collections4.comparators.FixedOrderComparator.UnknownObjectBehavior);","","AssertionRelation.MISSING",""
"FixedOrderComparator","setUnknownObjectBehavior(unknownObjectBehavior)","ConditionKind.PARAM","unknownObjectBehavior","ConditionKind.PARAM","unknownObjectBehavior","","","AssertionRelation.EMPTY",""
"FixedOrderComparator","setUnknownObjectBehavior(unknownObjectBehavior)","ConditionKind.THROWS","UnsupportedOperationException","ConditionKind.THROWS","UnsupportedOperationException","assert receiverObjectID.isLocked();","","AssertionRelation.MISSING",""
"FixedOrderComparator","setUnknownObjectBehavior(unknownObjectBehavior)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"FixedOrderComparator","add(obj)","ConditionKind.PARAM","obj","ConditionKind.PARAM","obj","","","AssertionRelation.EMPTY",""
"FixedOrderComparator","add(obj)","ConditionKind.THROWS","UnsupportedOperationException","ConditionKind.THROWS","UnsupportedOperationException","assert receiverObjectID.isLocked();","","AssertionRelation.MISSING",""
"FixedOrderComparator","add(obj)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FixedOrderComparator","addAsEqual(existingObj newObj)","ConditionKind.PARAM","existingObj","ConditionKind.PARAM","existingObj","","","AssertionRelation.EMPTY",""
"FixedOrderComparator","addAsEqual(existingObj newObj)","ConditionKind.PARAM","newObj","ConditionKind.PARAM","newObj","","","AssertionRelation.EMPTY",""
"FixedOrderComparator","addAsEqual(existingObj newObj)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","","AssertionRelation.EMPTY",""
"FixedOrderComparator","addAsEqual(existingObj newObj)","ConditionKind.THROWS","UnsupportedOperationException","ConditionKind.THROWS","UnsupportedOperationException","assert receiverObjectID.isLocked();","","AssertionRelation.MISSING",""
"FixedOrderComparator","addAsEqual(existingObj newObj)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FixedOrderComparator","compare(obj1 obj2)","ConditionKind.PARAM","obj1","ConditionKind.PARAM","obj1","","","AssertionRelation.EMPTY",""
"FixedOrderComparator","compare(obj1 obj2)","ConditionKind.PARAM","obj2","ConditionKind.PARAM","obj2","","","AssertionRelation.EMPTY",""
"FixedOrderComparator","compare(obj1 obj2)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","","AssertionRelation.EMPTY",""
"FixedOrderComparator","compare(obj1 obj2)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FixedOrderComparator","hashCode()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FixedOrderComparator","equals(object)","ConditionKind.PARAM","object","ConditionKind.PARAM","object","","","AssertionRelation.EMPTY",""
"FixedOrderComparator","equals(object)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
