class_fqn,param_precision,param_recall,return_precision,return_recall,throws_precision,throws_recall,overall_precision,overall_recall,overall_f1
FunctionUtils,,,,,,0.0,,0.0,
DerivativeStructure,,,,,1.0,0.5,1.0,0.5,
Gaussian,,,,,1.0,1.0,1.0,1.0,
Logistic,,,,,1.0,1.0,1.0,1.0,
StepFunction,,,,,0.5,0.25,0.5,0.25,
IterativeLegendreGaussIntegrator,,,,,1.0,0.5,1.0,0.5,
SimpsonIntegrator,1.0,1.0,,,0.5,0.3333333333333333,0.6666666666666666,0.5,
BivariateGridInterpolator,,,,,0.0,0.0,0.0,0.0,
DividedDifferenceInterpolator,,,,,0.0,0.0,0.0,0.0,
LinearInterpolator,,,,,0.0,0.0,0.0,0.0,
LoessInterpolator,0.0,,,,1.0,0.25,0.3333333333333333,0.25,
PolynomialFunctionNewtonForm,,,,,0.5,0.3333333333333333,0.5,0.3333333333333333,
BracketingNthOrderBrentSolver,,,,,1.0,1.0,1.0,1.0,
UnivariateSolverUtils,1.0,1.0,0.0,,1.0,1.0,0.8333333333333334,1.0,
Complex,1.0,1.0,,,1.0,1.0,1.0,1.0,
LogisticDistribution,1.0,1.0,,,,,1.0,1.0,
SimpleCurveFitter,1.0,1.0,,,,,1.0,1.0,
BigFraction,1.0,1.0,,,1.0,0.625,1.0,0.7692307692307693,
Fraction,1.0,1.0,,,1.0,0.8571428571428571,1.0,0.9090909090909091,
AbstractListChromosome,,,,,,,,,
BinaryMutation,,,,,1.0,1.0,1.0,1.0,
CycleCrossover,,,,,1.0,0.3333333333333333,1.0,0.3333333333333333,
RandomKey,,,,,,0.0,,0.0,
Vector,,,,,1.0,1.0,1.0,1.0,
Interval,,,,0.0,,,,0.0,
IntervalsSet,1.0,1.0,,,,,1.0,1.0,
FieldRotation,,,,,,0.0,,0.0,
Line,,,,,0.0,0.0,0.0,0.0,
SubLine,,,,,0.0,0.0,0.0,0.0,
Vector3D,,,,,,0.0,,0.0,
Region,,,0.0,0.0,,,0.0,0.0,
S2Point,,,,,,0.0,,0.0,
PreconditionedIterativeLinearSolver,,,,,1.0,1.0,1.0,1.0,
RealVector,,,,,1.0,0.42105263157894735,1.0,0.42105263157894735,
SymmLQ,,,,,1.0,1.0,1.0,1.0,
ContinuousOutputModel,1.0,1.0,,,,,1.0,1.0,
AdaptiveStepsizeIntegrator,1.0,1.0,,,,,1.0,1.0,
EmbeddedRungeKuttaFieldIntegrator,1.0,1.0,,,,,1.0,1.0,
SimpleValueChecker,,,,,1.0,1.0,1.0,1.0,
AbstractSimplex,,,,,0.5,1.0,0.5,1.0,
UnivariateMultiStartOptimizer,0.0,,,,1.0,1.0,0.6666666666666666,1.0,
Primes,1.0,1.0,0.5,0.5,1.0,1.0,0.8333333333333334,0.8333333333333334,
BitsStreamGenerator,1.0,1.0,,,0.5,0.3333333333333333,0.8,0.6666666666666666,
HaltonSequenceGenerator,1.0,1.0,,,0.75,0.75,0.8,0.8,
RandomAdaptor,1.0,1.0,,,1.0,1.0,1.0,1.0,
RandomDataGenerator,,,,,1.0,1.0,1.0,1.0,
DBSCANClusterer,,,,,1.0,1.0,1.0,1.0,
SummaryStatistics,,,,0.0,1.0,1.0,1.0,0.6666666666666666,
PSquarePercentile,,,,,0.0,0.0,0.0,0.0,
Sum,,,1.0,1.0,1.0,1.0,1.0,1.0,
ArithmeticUtils,1.0,0.8571428571428571,0.8571428571428571,1.0,1.0,0.9473684210526315,0.967741935483871,0.9375,
FastMath,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,0.9333333333333333,1.0,
KthSelector,,,,,1.0,1.0,1.0,1.0,
