"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"FunctionUtils","compose(f)","ConditionKind.PARAM","f","ConditionKind.PARAM","f","","","AssertionRelation.EMPTY",""
"FunctionUtils","compose(f)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FunctionUtils","compose(f)","ConditionKind.PARAM","f","ConditionKind.PARAM","f","","","AssertionRelation.EMPTY",""
"FunctionUtils","compose(f)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FunctionUtils","compose(f)","ConditionKind.PARAM","f","ConditionKind.PARAM","f","","","AssertionRelation.EMPTY",""
"FunctionUtils","compose(f)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FunctionUtils","add(f)","ConditionKind.PARAM","f","ConditionKind.PARAM","f","","","AssertionRelation.EMPTY",""
"FunctionUtils","add(f)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FunctionUtils","add(f)","ConditionKind.PARAM","f","ConditionKind.PARAM","f","","","AssertionRelation.EMPTY",""
"FunctionUtils","add(f)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FunctionUtils","add(f)","ConditionKind.PARAM","f","ConditionKind.PARAM","f","","","AssertionRelation.EMPTY",""
"FunctionUtils","add(f)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FunctionUtils","multiply(f)","ConditionKind.PARAM","f","ConditionKind.PARAM","f","","","AssertionRelation.EMPTY",""
"FunctionUtils","multiply(f)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FunctionUtils","multiply(f)","ConditionKind.PARAM","f","ConditionKind.PARAM","f","","","AssertionRelation.EMPTY",""
"FunctionUtils","multiply(f)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FunctionUtils","multiply(f)","ConditionKind.PARAM","f","ConditionKind.PARAM","f","","","AssertionRelation.EMPTY",""
"FunctionUtils","multiply(f)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FunctionUtils","combine(combiner f g)","ConditionKind.PARAM","combiner","ConditionKind.PARAM","combiner","","","AssertionRelation.EMPTY",""
