"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n relativeAccuracy absoluteAccuracy minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","n","ConditionKind.PARAM","n","","","AssertionRelation.EMPTY",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n relativeAccuracy absoluteAccuracy minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","relativeAccuracy","ConditionKind.PARAM","relativeAccuracy","","","AssertionRelation.EMPTY",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n relativeAccuracy absoluteAccuracy minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","absoluteAccuracy","ConditionKind.PARAM","absoluteAccuracy","","","AssertionRelation.EMPTY",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n relativeAccuracy absoluteAccuracy minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","minimalIterationCount","ConditionKind.PARAM","minimalIterationCount","","","AssertionRelation.EMPTY",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n relativeAccuracy absoluteAccuracy minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","maximalIterationCount","ConditionKind.PARAM","maximalIterationCount","","","AssertionRelation.EMPTY",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n relativeAccuracy absoluteAccuracy minimalIterationCount maximalIterationCount)","ConditionKind.THROWS","NotStrictlyPositiveException","ConditionKind.THROWS","NotStrictlyPositiveException","assert args[0]<=0 || args[3]<=0;","","AssertionRelation.MISSING",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n relativeAccuracy absoluteAccuracy minimalIterationCount maximalIterationCount)","ConditionKind.THROWS","NumberIsTooSmallException","ConditionKind.THROWS","NumberIsTooSmallException","assert args[4]<=args[3];","","AssertionRelation.MISSING",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n relativeAccuracy absoluteAccuracy)","ConditionKind.PARAM","n","ConditionKind.PARAM","n","","","AssertionRelation.EMPTY",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n relativeAccuracy absoluteAccuracy)","ConditionKind.PARAM","relativeAccuracy","ConditionKind.PARAM","relativeAccuracy","","","AssertionRelation.EMPTY",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n relativeAccuracy absoluteAccuracy)","ConditionKind.PARAM","absoluteAccuracy","ConditionKind.PARAM","absoluteAccuracy","","","AssertionRelation.EMPTY",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n relativeAccuracy absoluteAccuracy)","ConditionKind.THROWS","NotStrictlyPositiveException","ConditionKind.THROWS","NotStrictlyPositiveException","assert args[0]<1;","assert args[0]<1;","AssertionRelation.IDENTICAL",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","n","ConditionKind.PARAM","n","","","AssertionRelation.EMPTY",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","minimalIterationCount","ConditionKind.PARAM","minimalIterationCount","","","AssertionRelation.EMPTY",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","maximalIterationCount","ConditionKind.PARAM","maximalIterationCount","","","AssertionRelation.EMPTY",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n minimalIterationCount maximalIterationCount)","ConditionKind.THROWS","NotStrictlyPositiveException","ConditionKind.THROWS","NotStrictlyPositiveException","assert (args[1]>0)==false;","assert (args[1]>0) == false;","AssertionRelation.IDENTICAL",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n minimalIterationCount maximalIterationCount)","ConditionKind.THROWS","NumberIsTooSmallException","ConditionKind.THROWS","NumberIsTooSmallException","assert args[2]<=args[1];","","AssertionRelation.MISSING",""
"IterativeLegendreGaussIntegrator","IterativeLegendreGaussIntegrator(n minimalIterationCount maximalIterationCount)","ConditionKind.THROWS","NotStrictlyPositiveException","ConditionKind.THROWS","NotStrictlyPositiveException","assert args[0]<1;","assert args[0]<1;","AssertionRelation.IDENTICAL",""
