"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"SimpsonIntegrator","SimpsonIntegrator(relativeAccuracy absoluteAccuracy minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","relativeAccuracy","ConditionKind.PARAM","relativeAccuracy","","","AssertionRelation.EMPTY",""
"SimpsonIntegrator","SimpsonIntegrator(relativeAccuracy absoluteAccuracy minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","absoluteAccuracy","ConditionKind.PARAM","absoluteAccuracy","","","AssertionRelation.EMPTY",""
"SimpsonIntegrator","SimpsonIntegrator(relativeAccuracy absoluteAccuracy minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","minimalIterationCount","ConditionKind.PARAM","minimalIterationCount","","","AssertionRelation.EMPTY",""
"SimpsonIntegrator","SimpsonIntegrator(relativeAccuracy absoluteAccuracy minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","maximalIterationCount","ConditionKind.PARAM","maximalIterationCount","assert args[3]<=receiverObjectID.SIMPSON_MAX_ITERATIONS_COUNT;","assert args[3]<=receiverObjectID.SIMPSON_MAX_ITERATIONS_COUNT;","AssertionRelation.IDENTICAL",""
"SimpsonIntegrator","SimpsonIntegrator(relativeAccuracy absoluteAccuracy minimalIterationCount maximalIterationCount)","ConditionKind.THROWS","NotStrictlyPositiveException","ConditionKind.THROWS","NotStrictlyPositiveException","assert (args[2]>0)==false;","assert (args[2]>0) == false;","AssertionRelation.IDENTICAL",""
"SimpsonIntegrator","SimpsonIntegrator(relativeAccuracy absoluteAccuracy minimalIterationCount maximalIterationCount)","ConditionKind.THROWS","NumberIsTooSmallException","ConditionKind.THROWS","NumberIsTooSmallException","assert args[3]<=args[2];","","AssertionRelation.MISSING",""
"SimpsonIntegrator","SimpsonIntegrator(relativeAccuracy absoluteAccuracy minimalIterationCount maximalIterationCount)","ConditionKind.THROWS","NumberIsTooLargeException","ConditionKind.THROWS","NumberIsTooLargeException","assert args[3]>receiverObjectID.SIMPSON_MAX_ITERATIONS_COUNT;","assert args[2]>receiverObjectID.SIMPSON_MAX_ITERATIONS_COUNT;","AssertionRelation.UNSUPPORTED","Expected Type.INT, got Type.REF"
"SimpsonIntegrator","SimpsonIntegrator(minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","minimalIterationCount","ConditionKind.PARAM","minimalIterationCount","","","AssertionRelation.EMPTY",""
"SimpsonIntegrator","SimpsonIntegrator(minimalIterationCount maximalIterationCount)","ConditionKind.PARAM","maximalIterationCount","ConditionKind.PARAM","maximalIterationCount","assert args[1]<=receiverObjectID.SIMPSON_MAX_ITERATIONS_COUNT;","assert args[1]<=receiverObjectID.SIMPSON_MAX_ITERATIONS_COUNT;","AssertionRelation.IDENTICAL",""
"SimpsonIntegrator","SimpsonIntegrator(minimalIterationCount maximalIterationCount)","ConditionKind.THROWS","NotStrictlyPositiveException","ConditionKind.THROWS","NotStrictlyPositiveException","assert (args[0]>0)==false;","assert (args[0]>0) == false;","AssertionRelation.IDENTICAL",""
"SimpsonIntegrator","SimpsonIntegrator(minimalIterationCount maximalIterationCount)","ConditionKind.THROWS","NumberIsTooSmallException","ConditionKind.THROWS","NumberIsTooSmallException","assert args[1]<=args[0];","","AssertionRelation.MISSING",""
"SimpsonIntegrator","SimpsonIntegrator(minimalIterationCount maximalIterationCount)","ConditionKind.THROWS","NumberIsTooLargeException","ConditionKind.THROWS","NumberIsTooLargeException","assert args[1]>receiverObjectID.SIMPSON_MAX_ITERATIONS_COUNT;","assert args[0]>receiverObjectID.SIMPSON_MAX_ITERATIONS_COUNT;","AssertionRelation.UNSUPPORTED","Expected Type.INT, got Type.REF"
