"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Fraction","Fraction(value)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","","AssertionRelation.EMPTY",""
"Fraction","Fraction(value)","ConditionKind.THROWS","FractionConversionException","ConditionKind.THROWS","FractionConversionException","","","AssertionRelation.EMPTY",""
"Fraction","Fraction(value epsilon maxIterations)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","","AssertionRelation.EMPTY",""
"Fraction","Fraction(value epsilon maxIterations)","ConditionKind.PARAM","epsilon","ConditionKind.PARAM","epsilon","","","AssertionRelation.EMPTY",""
"Fraction","Fraction(value epsilon maxIterations)","ConditionKind.PARAM","maxIterations","ConditionKind.PARAM","maxIterations","","","AssertionRelation.EMPTY",""
"Fraction","Fraction(value epsilon maxIterations)","ConditionKind.THROWS","FractionConversionException","ConditionKind.THROWS","FractionConversionException","","","AssertionRelation.EMPTY",""
"Fraction","Fraction(value maxDenominator)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","","AssertionRelation.EMPTY",""
"Fraction","Fraction(value maxDenominator)","ConditionKind.PARAM","maxDenominator","ConditionKind.PARAM","maxDenominator","","","AssertionRelation.EMPTY",""
"Fraction","Fraction(value maxDenominator)","ConditionKind.THROWS","FractionConversionException","ConditionKind.THROWS","FractionConversionException","","","AssertionRelation.EMPTY",""
"Fraction","Fraction(num)","ConditionKind.PARAM","num","ConditionKind.PARAM","num","","","AssertionRelation.EMPTY",""
"Fraction","Fraction(num den)","ConditionKind.PARAM","num","ConditionKind.PARAM","num","","","AssertionRelation.EMPTY",""
"Fraction","Fraction(num den)","ConditionKind.PARAM","den","ConditionKind.PARAM","den","","","AssertionRelation.EMPTY",""
"Fraction","Fraction(num den)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","assert args[1]==0;","assert args[1]==0;","AssertionRelation.IDENTICAL",""
"Fraction","abs()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Fraction","compareTo(object)","ConditionKind.PARAM","object","ConditionKind.PARAM","object","","","AssertionRelation.EMPTY",""
"Fraction","compareTo(object)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Fraction","doubleValue()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Fraction","equals(other)","ConditionKind.PARAM","other","ConditionKind.PARAM","other","","","AssertionRelation.EMPTY",""
"Fraction","equals(other)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Fraction","floatValue()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Fraction","getDenominator()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Fraction","getNumerator()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Fraction","hashCode()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Fraction","intValue()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Fraction","longValue()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Fraction","negate()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Fraction","reciprocal()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Fraction","add(fraction)","ConditionKind.PARAM","fraction","ConditionKind.PARAM","fraction","assert (args[0]==null) == false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
