"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Region","buildNew(newTree)","ConditionKind.PARAM","newTree","ConditionKind.PARAM","newTree","","","AssertionRelation.EMPTY",""
"Region","buildNew(newTree)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Region","copySelf()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Region","isEmpty()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Region","isEmpty(node)","ConditionKind.PARAM","node","ConditionKind.PARAM","node","","","AssertionRelation.EMPTY",""
"Region","isEmpty(node)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Region","isFull()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Region","isFull(node)","ConditionKind.PARAM","node","ConditionKind.PARAM","node","","","AssertionRelation.EMPTY",""
"Region","isFull(node)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Region","contains(region)","ConditionKind.PARAM","region","ConditionKind.PARAM","region","","","AssertionRelation.EMPTY",""
"Region","contains(region)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Region","checkPoint(point)","ConditionKind.PARAM","point","ConditionKind.PARAM","point","","","AssertionRelation.EMPTY",""
"Region","checkPoint(point)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert methodResultID.equals(Location.INSIDE) || methodResultID.equals(Location.OUTSIDE) || methodResultID.equals(Location.BOUNDARY);","","AssertionRelation.MISSING",""
"Region","projectToBoundary(point)","ConditionKind.PARAM","point","ConditionKind.PARAM","point","","","AssertionRelation.EMPTY",""
"Region","projectToBoundary(point)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Region","getTree(includeBoundaryAttributes)","ConditionKind.PARAM","includeBoundaryAttributes","ConditionKind.PARAM","includeBoundaryAttributes","","","AssertionRelation.EMPTY",""
"Region","getTree(includeBoundaryAttributes)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Region","getBoundarySize()","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert true ? methodResultID==0;","AssertionRelation.UNEXPECTED",""
"Region","getSize()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Region","getBarycenter()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Region","side(hyperplane)","ConditionKind.PARAM","hyperplane","ConditionKind.PARAM","hyperplane","","","AssertionRelation.EMPTY",""
"Region","side(hyperplane)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert methodResultID.equals(Side.PLUS) || methodResultID.equals(Side.MINUS) || methodResultID.equals(Side.BOTH) || methodResultID.equals(Side.HYPER);","","AssertionRelation.MISSING",""
"Region","intersection(sub)","ConditionKind.PARAM","sub","ConditionKind.PARAM","sub","","","AssertionRelation.EMPTY",""
"Region","intersection(sub)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
