"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"S2Point","S2Point(theta phi)","ConditionKind.PARAM","theta","ConditionKind.PARAM","theta","","","AssertionRelation.EMPTY",""
"S2Point","S2Point(theta phi)","ConditionKind.PARAM","phi","ConditionKind.PARAM","phi","","","AssertionRelation.EMPTY",""
"S2Point","S2Point(theta phi)","ConditionKind.THROWS","OutOfRangeException","ConditionKind.THROWS","OutOfRangeException","","","AssertionRelation.EMPTY",""
"S2Point","S2Point(vector)","ConditionKind.PARAM","vector","ConditionKind.PARAM","vector","","","AssertionRelation.EMPTY",""
"S2Point","S2Point(vector)","ConditionKind.THROWS","MathArithmeticException","ConditionKind.THROWS","MathArithmeticException","assert args[0].getNorm()==0;","","AssertionRelation.MISSING",""
"S2Point","getTheta()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"S2Point","getPhi()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"S2Point","getVector()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"S2Point","negate()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"S2Point","distance(p1 p2)","ConditionKind.PARAM","p1","ConditionKind.PARAM","p1","","","AssertionRelation.EMPTY",""
"S2Point","distance(p1 p2)","ConditionKind.PARAM","p2","ConditionKind.PARAM","p2","","","AssertionRelation.EMPTY",""
"S2Point","distance(p1 p2)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"S2Point","equals(other)","ConditionKind.PARAM","other","ConditionKind.PARAM","other","","","AssertionRelation.EMPTY",""
"S2Point","equals(other)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"S2Point","hashCode()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
