"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"ContinuousOutputModel","append(model)","ConditionKind.PARAM","model","ConditionKind.PARAM","model","","","AssertionRelation.EMPTY",""
"ContinuousOutputModel","append(model)","ConditionKind.THROWS","MathIllegalArgumentException","ConditionKind.THROWS","MathIllegalArgumentException","","","AssertionRelation.EMPTY",""
"ContinuousOutputModel","append(model)","ConditionKind.THROWS","MaxCountExceededException","ConditionKind.THROWS","MaxCountExceededException","","","AssertionRelation.EMPTY",""
"ContinuousOutputModel","handleStep(interpolator isLast)","ConditionKind.PARAM","interpolator","ConditionKind.PARAM","interpolator","","","AssertionRelation.EMPTY",""
"ContinuousOutputModel","handleStep(interpolator isLast)","ConditionKind.PARAM","isLast","ConditionKind.PARAM","isLast","assert args[1]==true;","assert args[1]==true;","AssertionRelation.IDENTICAL",""
"ContinuousOutputModel","handleStep(interpolator isLast)","ConditionKind.THROWS","MaxCountExceededException","ConditionKind.THROWS","MaxCountExceededException","","","AssertionRelation.EMPTY",""
"ContinuousOutputModel","getInitialTime()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"ContinuousOutputModel","getFinalTime()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"ContinuousOutputModel","getInterpolatedTime()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"ContinuousOutputModel","setInterpolatedTime(time)","ConditionKind.PARAM","time","ConditionKind.PARAM","time","","","AssertionRelation.EMPTY",""
"ContinuousOutputModel","getInterpolatedState()","ConditionKind.THROWS","MaxCountExceededException","ConditionKind.THROWS","MaxCountExceededException","","","AssertionRelation.EMPTY",""
"ContinuousOutputModel","getInterpolatedState()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"ContinuousOutputModel","getInterpolatedDerivatives()","ConditionKind.THROWS","MaxCountExceededException","ConditionKind.THROWS","MaxCountExceededException","","","AssertionRelation.EMPTY",""
"ContinuousOutputModel","getInterpolatedDerivatives()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"ContinuousOutputModel","getInterpolatedSecondaryState(secondaryStateIndex)","ConditionKind.PARAM","secondaryStateIndex","ConditionKind.PARAM","secondaryStateIndex","","","AssertionRelation.EMPTY",""
"ContinuousOutputModel","getInterpolatedSecondaryState(secondaryStateIndex)","ConditionKind.THROWS","MaxCountExceededException","ConditionKind.THROWS","MaxCountExceededException","","","AssertionRelation.EMPTY",""
"ContinuousOutputModel","getInterpolatedSecondaryState(secondaryStateIndex)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"ContinuousOutputModel","getInterpolatedSecondaryDerivatives(secondaryStateIndex)","ConditionKind.PARAM","secondaryStateIndex","ConditionKind.PARAM","secondaryStateIndex","","","AssertionRelation.EMPTY",""
"ContinuousOutputModel","getInterpolatedSecondaryDerivatives(secondaryStateIndex)","ConditionKind.THROWS","MaxCountExceededException","ConditionKind.THROWS","MaxCountExceededException","","","AssertionRelation.EMPTY",""
"ContinuousOutputModel","getInterpolatedSecondaryDerivatives(secondaryStateIndex)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
