"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"SimpleValueChecker","org.apache.commons.math3.optimization.SimpleValueChecker(relativeThreshold absoluteThreshold)","ConditionKind.PARAM","relativeThreshold","ConditionKind.PARAM","relativeThreshold","","","AssertionRelation.EMPTY",""
"SimpleValueChecker","org.apache.commons.math3.optimization.SimpleValueChecker(relativeThreshold absoluteThreshold)","ConditionKind.PARAM","absoluteThreshold","ConditionKind.PARAM","absoluteThreshold","","","AssertionRelation.EMPTY",""
"SimpleValueChecker","org.apache.commons.math3.optimization.SimpleValueChecker(relativeThreshold absoluteThreshold maxIter)","ConditionKind.PARAM","relativeThreshold","ConditionKind.PARAM","relativeThreshold","","","AssertionRelation.EMPTY",""
"SimpleValueChecker","org.apache.commons.math3.optimization.SimpleValueChecker(relativeThreshold absoluteThreshold maxIter)","ConditionKind.PARAM","absoluteThreshold","ConditionKind.PARAM","absoluteThreshold","","","AssertionRelation.EMPTY",""
"SimpleValueChecker","org.apache.commons.math3.optimization.SimpleValueChecker(relativeThreshold absoluteThreshold maxIter)","ConditionKind.PARAM","maxIter","ConditionKind.PARAM","maxIter","","","AssertionRelation.EMPTY",""
"SimpleValueChecker","org.apache.commons.math3.optimization.SimpleValueChecker(relativeThreshold absoluteThreshold maxIter)","ConditionKind.THROWS","NotStrictlyPositiveException","ConditionKind.THROWS","NotStrictlyPositiveException","assert args[2]<=0;","assert args[2]<=0;","AssertionRelation.IDENTICAL",""
"SimpleValueChecker","converged(iteration previous current)","ConditionKind.PARAM","iteration","ConditionKind.PARAM","iteration","","","AssertionRelation.EMPTY",""
"SimpleValueChecker","converged(iteration previous current)","ConditionKind.PARAM","previous","ConditionKind.PARAM","previous","","","AssertionRelation.EMPTY",""
"SimpleValueChecker","converged(iteration previous current)","ConditionKind.PARAM","current","ConditionKind.PARAM","current","","","AssertionRelation.EMPTY",""
"SimpleValueChecker","converged(iteration previous current)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
