"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"RandomAdaptor","RandomAdaptor(randomGenerator)","ConditionKind.PARAM","randomGenerator","ConditionKind.PARAM","randomGenerator","","","AssertionRelation.EMPTY",""
"RandomAdaptor","createAdaptor(randomGenerator)","ConditionKind.PARAM","randomGenerator","ConditionKind.PARAM","randomGenerator","","","AssertionRelation.EMPTY",""
"RandomAdaptor","createAdaptor(randomGenerator)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"RandomAdaptor","nextBoolean()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"RandomAdaptor","nextBytes(bytes)","ConditionKind.PARAM","bytes","ConditionKind.PARAM","bytes","assert args[0]!=null;","assert args[0]!=null;","AssertionRelation.IDENTICAL",""
"RandomAdaptor","nextDouble()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"RandomAdaptor","nextFloat()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"RandomAdaptor","nextGaussian()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"RandomAdaptor","nextInt()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"RandomAdaptor","nextInt(n)","ConditionKind.PARAM","n","ConditionKind.PARAM","n","assert args[0]>0;","assert args[0]>0;","AssertionRelation.IDENTICAL",""
"RandomAdaptor","nextInt(n)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert (args[0]>0) == false;","assert (args[0]>0) == false;","AssertionRelation.IDENTICAL",""
"RandomAdaptor","nextInt(n)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"RandomAdaptor","nextLong()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
