"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"RandomDataGenerator","RandomDataGenerator(rand)","ConditionKind.PARAM","rand","ConditionKind.PARAM","rand","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextHexString(len)","ConditionKind.PARAM","len","ConditionKind.PARAM","len","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextHexString(len)","ConditionKind.THROWS","NotStrictlyPositiveException","ConditionKind.THROWS","NotStrictlyPositiveException","assert args[0]<=0;","assert args[0]<=0;","AssertionRelation.IDENTICAL",""
"RandomDataGenerator","nextHexString(len)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextSecureHexString(len)","ConditionKind.THROWS","NotStrictlyPositiveException","ConditionKind.THROWS","NotStrictlyPositiveException","assert args[0]<=0;","assert args[0]<=0;","AssertionRelation.IDENTICAL",""
"RandomDataGenerator","nextPoisson(mean)","ConditionKind.THROWS","NotStrictlyPositiveException","ConditionKind.THROWS","NotStrictlyPositiveException","assert args[0]<=0;","assert args[0]<=0;","AssertionRelation.IDENTICAL",""
"RandomDataGenerator","nextGamma(shape scale)","ConditionKind.PARAM","shape","ConditionKind.PARAM","shape","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextGamma(shape scale)","ConditionKind.PARAM","scale","ConditionKind.PARAM","scale","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextGamma(shape scale)","ConditionKind.THROWS","NotStrictlyPositiveException","ConditionKind.THROWS","NotStrictlyPositiveException","assert args[0]<=0 || args[1]<=0;","assert args[0]<=0 || args[1]<=0;","AssertionRelation.IDENTICAL",""
"RandomDataGenerator","nextGamma(shape scale)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextHypergeometric(populationSize numberOfSuccesses sampleSize)","ConditionKind.PARAM","populationSize","ConditionKind.PARAM","populationSize","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextHypergeometric(populationSize numberOfSuccesses sampleSize)","ConditionKind.PARAM","numberOfSuccesses","ConditionKind.PARAM","numberOfSuccesses","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextHypergeometric(populationSize numberOfSuccesses sampleSize)","ConditionKind.PARAM","sampleSize","ConditionKind.PARAM","sampleSize","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextHypergeometric(populationSize numberOfSuccesses sampleSize)","ConditionKind.THROWS","NumberIsTooLargeException","ConditionKind.THROWS","NumberIsTooLargeException","assert args[1]>args[0] || args[2]>args[0];","assert args[1]>args[0] || args[2]>args[0];","AssertionRelation.IDENTICAL",""
"RandomDataGenerator","nextHypergeometric(populationSize numberOfSuccesses sampleSize)","ConditionKind.THROWS","NotStrictlyPositiveException","ConditionKind.THROWS","NotStrictlyPositiveException","assert args[0]<=0;","assert args[0]<=0;","AssertionRelation.IDENTICAL",""
"RandomDataGenerator","nextHypergeometric(populationSize numberOfSuccesses sampleSize)","ConditionKind.THROWS","NotPositiveException","ConditionKind.THROWS","NotPositiveException","assert args[1]<0;","assert args[1]<0;","AssertionRelation.IDENTICAL",""
"RandomDataGenerator","nextHypergeometric(populationSize numberOfSuccesses sampleSize)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextPascal(r p)","ConditionKind.PARAM","r","ConditionKind.PARAM","r","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextPascal(r p)","ConditionKind.PARAM","p","ConditionKind.PARAM","p","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextPascal(r p)","ConditionKind.THROWS","NotStrictlyPositiveException","ConditionKind.THROWS","NotStrictlyPositiveException","assert (args[0]>0) == false;","assert (args[0]>0) == false;","AssertionRelation.IDENTICAL",""
"RandomDataGenerator","nextPascal(r p)","ConditionKind.THROWS","OutOfRangeException","ConditionKind.THROWS","OutOfRangeException","assert args[1]<0||args[1]>1;","assert args[1]<0 || args[1]>1;","AssertionRelation.IDENTICAL",""
"RandomDataGenerator","nextPascal(r p)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextT(df)","ConditionKind.PARAM","df","ConditionKind.PARAM","df","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextT(df)","ConditionKind.THROWS","NotStrictlyPositiveException","ConditionKind.THROWS","NotStrictlyPositiveException","assert args[0]<=0;","assert args[0]<=0;","AssertionRelation.IDENTICAL",""
"RandomDataGenerator","nextT(df)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextWeibull(shape scale)","ConditionKind.PARAM","shape","ConditionKind.PARAM","shape","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextWeibull(shape scale)","ConditionKind.PARAM","scale","ConditionKind.PARAM","scale","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextWeibull(shape scale)","ConditionKind.THROWS","NotStrictlyPositiveException","ConditionKind.THROWS","NotStrictlyPositiveException","assert args[0]<=0 || args[1]<=0;","assert args[0]<=0 || args[1]<=0;","AssertionRelation.IDENTICAL",""
"RandomDataGenerator","nextWeibull(shape scale)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextZipf(numberOfElements exponent)","ConditionKind.PARAM","numberOfElements","ConditionKind.PARAM","numberOfElements","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextZipf(numberOfElements exponent)","ConditionKind.PARAM","exponent","ConditionKind.PARAM","exponent","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextZipf(numberOfElements exponent)","ConditionKind.THROWS","NotStrictlyPositiveException","ConditionKind.THROWS","NotStrictlyPositiveException","assert args[0]<=0 || args[1]<=0;","assert args[0]<=0 || args[1]<=0;","AssertionRelation.IDENTICAL",""
"RandomDataGenerator","nextZipf(numberOfElements exponent)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextBeta(alpha beta)","ConditionKind.PARAM","alpha","ConditionKind.PARAM","alpha","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextBeta(alpha beta)","ConditionKind.PARAM","beta","ConditionKind.PARAM","beta","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextBeta(alpha beta)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextBinomial(numberOfTrials probabilityOfSuccess)","ConditionKind.PARAM","numberOfTrials","ConditionKind.PARAM","numberOfTrials","","","AssertionRelation.EMPTY",""
"RandomDataGenerator","nextBinomial(numberOfTrials probabilityOfSuccess)","ConditionKind.PARAM","probabilityOfSuccess","ConditionKind.PARAM","probabilityOfSuccess","","","AssertionRelation.EMPTY",""
