"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"FastMath","sqrt(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"FastMath","sqrt(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","cosh(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"FastMath","cosh(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","sinh(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"FastMath","sinh(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","tanh(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"FastMath","tanh(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","acosh(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"FastMath","acosh(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","asinh(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"FastMath","asinh(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","atanh(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"FastMath","atanh(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","signum(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"FastMath","signum(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","signum(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"FastMath","signum(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","nextUp(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"FastMath","nextUp(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","nextUp(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"FastMath","nextUp(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","nextDown(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"FastMath","nextDown(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","nextDown(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"FastMath","nextDown(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","random()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","exp(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"FastMath","exp(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","expm1(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"FastMath","expm1(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","log(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"FastMath","log(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","log1p(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"FastMath","log1p(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","log10(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"FastMath","log10(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","log(base x)","ConditionKind.PARAM","base","ConditionKind.PARAM","base","assert args[0]>0;","assert args[0]>0;","AssertionRelation.IDENTICAL",""
"FastMath","log(base x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","assert args[1]>0;","assert args[1]>0;","AssertionRelation.IDENTICAL",""
"FastMath","log(base x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert true ? methodResultID==args[1];","AssertionRelation.UNEXPECTED",""
"FastMath","pow(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"FastMath","pow(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","","AssertionRelation.EMPTY",""
"FastMath","pow(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","pow(d e)","ConditionKind.PARAM","d","ConditionKind.PARAM","d","","","AssertionRelation.EMPTY",""
"FastMath","pow(d e)","ConditionKind.PARAM","e","ConditionKind.PARAM","e","","","AssertionRelation.EMPTY",""
"FastMath","pow(d e)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","pow(d e)","ConditionKind.PARAM","d","ConditionKind.PARAM","d","","","AssertionRelation.EMPTY",""
"FastMath","pow(d e)","ConditionKind.PARAM","e","ConditionKind.PARAM","e","","","AssertionRelation.EMPTY",""
"FastMath","pow(d e)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","sin(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"FastMath","sin(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","cos(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"FastMath","cos(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","tan(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"FastMath","tan(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","atan2(y x)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","","AssertionRelation.EMPTY",""
"FastMath","atan2(y x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"FastMath","atan2(y x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","asin(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"FastMath","asin(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","acos(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"FastMath","acos(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","cbrt(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"FastMath","cbrt(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","abs(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"FastMath","abs(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","abs(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"FastMath","abs(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","abs(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"FastMath","abs(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","abs(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"FastMath","abs(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","ulp(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"FastMath","ulp(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","ulp(x)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"FastMath","ulp(x)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"FastMath","scalb(d n)","ConditionKind.PARAM","d","ConditionKind.PARAM","d","","","AssertionRelation.EMPTY",""
