"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"BuildingType","net.sf.freecol.common.model.BuildingType(id specification)","ConditionKind.PARAM","id","ConditionKind.PARAM","id","","","AssertionRelation.EMPTY",""
"BuildingType","net.sf.freecol.common.model.BuildingType(id specification)","ConditionKind.PARAM","specification","ConditionKind.PARAM","specification","","","AssertionRelation.EMPTY",""
"BuildingType","getLevel()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"BuildingType","getWorkPlaces()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"BuildingType","getUpkeep()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"BuildingType","getPriority()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"BuildingType","getNoAddReason(unitType)","ConditionKind.PARAM","unitType","ConditionKind.PARAM","unitType","","","AssertionRelation.EMPTY",""
"BuildingType","getNoAddReason(unitType)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"BuildingType","canAdd(unitType)","ConditionKind.PARAM","unitType","ConditionKind.PARAM","unitType","","","AssertionRelation.EMPTY",""
"BuildingType","canAdd(unitType)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"BuildingType","getType()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID==receiverObjectID;","","AssertionRelation.MISSING",""
"BuildingType","getUpgradesFrom()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"BuildingType","getUpgradesTo()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"BuildingType","getFirstLevel()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"BuildingType","isAutomaticBuild()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"BuildingType","addProductionType(productionType)","ConditionKind.PARAM","productionType","ConditionKind.PARAM","productionType","","","AssertionRelation.EMPTY",""
"BuildingType","getAvailableProductionTypes(unattended)","ConditionKind.PARAM","unattended","ConditionKind.PARAM","unattended","","","AssertionRelation.EMPTY",""
"BuildingType","getAvailableProductionTypes(unattended)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"BuildingType","getAvailableProductionTypes(unattended level)","ConditionKind.PARAM","unattended","ConditionKind.PARAM","unattended","","","AssertionRelation.EMPTY",""
"BuildingType","getAvailableProductionTypes(unattended level)","ConditionKind.PARAM","level","ConditionKind.PARAM","level","","","AssertionRelation.EMPTY",""
"BuildingType","getAvailableProductionTypes(unattended level)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"BuildingType","getProducedGoodsType()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"BuildingType","isDefenceType()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"BuildingType","canProduce(goodsType unitType)","ConditionKind.PARAM","goodsType","ConditionKind.PARAM","goodsType","","","AssertionRelation.EMPTY",""
"BuildingType","canProduce(goodsType unitType)","ConditionKind.PARAM","unitType","ConditionKind.PARAM","unitType","","","AssertionRelation.EMPTY",""
"BuildingType","canProduce(goodsType unitType)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"BuildingType","getBaseProduction(productionType goodsType unitType)","ConditionKind.PARAM","productionType","ConditionKind.PARAM","productionType","","","AssertionRelation.EMPTY",""
"BuildingType","getBaseProduction(productionType goodsType unitType)","ConditionKind.PARAM","goodsType","ConditionKind.PARAM","goodsType","","","AssertionRelation.EMPTY",""
"BuildingType","getBaseProduction(productionType goodsType unitType)","ConditionKind.PARAM","unitType","ConditionKind.PARAM","unitType","","","AssertionRelation.EMPTY",""
"BuildingType","getBaseProduction(productionType goodsType unitType)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"BuildingType","getPotentialProduction(goodsType unitType)","ConditionKind.PARAM","goodsType","ConditionKind.PARAM","goodsType","","","AssertionRelation.EMPTY",""
"BuildingType","getPotentialProduction(goodsType unitType)","ConditionKind.PARAM","unitType","ConditionKind.PARAM","unitType","","","AssertionRelation.EMPTY",""
"BuildingType","getPotentialProduction(goodsType unitType)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"BuildingType","getXMLElementTagName()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
