"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Feature","copyFrom(other)","ConditionKind.PARAM","other","ConditionKind.PARAM","other","","","AssertionRelation.EMPTY",""
"Feature","hasTimeLimit()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Feature","getFirstTurn()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Feature","setFirstTurn(newFirstTurn)","ConditionKind.PARAM","newFirstTurn","ConditionKind.PARAM","newFirstTurn","","","AssertionRelation.EMPTY",""
"Feature","getLastTurn()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Feature","setLastTurn(newLastTurn)","ConditionKind.PARAM","newLastTurn","ConditionKind.PARAM","newLastTurn","","","AssertionRelation.EMPTY",""
"Feature","hasScope()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Feature","getScopes()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Feature","setScopes(scopes)","ConditionKind.PARAM","scopes","ConditionKind.PARAM","scopes","","","AssertionRelation.EMPTY",""
"Feature","addScope(scope)","ConditionKind.PARAM","scope","ConditionKind.PARAM","scope","","","AssertionRelation.EMPTY",""
"Feature","getSource()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Feature","setSource(newSource)","ConditionKind.PARAM","newSource","ConditionKind.PARAM","newSource","","","AssertionRelation.EMPTY",""
"Feature","getDuration()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Feature","setDuration(newDuration)","ConditionKind.PARAM","newDuration","ConditionKind.PARAM","newDuration","","","AssertionRelation.EMPTY",""
"Feature","setTemporary(newTemporary)","ConditionKind.PARAM","newTemporary","ConditionKind.PARAM","newTemporary","","","AssertionRelation.EMPTY",""
"Feature","appliesTo(objectType)","ConditionKind.PARAM","objectType","ConditionKind.PARAM","objectType","","","AssertionRelation.EMPTY",""
"Feature","appliesTo(objectType)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Feature","appliesTo(turn)","ConditionKind.PARAM","turn","ConditionKind.PARAM","turn","","","AssertionRelation.EMPTY",""
"Feature","appliesTo(turn)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[0]==null ? methodResultID == true : methodResultID==false;","assert args[0]==null ? methodResultID == true : methodResultID == false;","AssertionRelation.IDENTICAL",""
"Feature","appliesTo(objectType turn)","ConditionKind.PARAM","objectType","ConditionKind.PARAM","objectType","","","AssertionRelation.EMPTY",""
"Feature","appliesTo(objectType turn)","ConditionKind.PARAM","turn","ConditionKind.PARAM","turn","","","AssertionRelation.EMPTY",""
"Feature","appliesTo(objectType turn)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Feature","isOutOfDate(turn)","ConditionKind.PARAM","turn","ConditionKind.PARAM","turn","","","AssertionRelation.EMPTY",""
"Feature","isOutOfDate(turn)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Feature","isIndependent()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
