"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Player","Player(game)","ConditionKind.PARAM","game","ConditionKind.PARAM","game","","","AssertionRelation.EMPTY",""
"Player","Player(game e)","ConditionKind.PARAM","game","ConditionKind.PARAM","game","","","AssertionRelation.EMPTY",""
"Player","Player(game e)","ConditionKind.PARAM","e","ConditionKind.PARAM","e","","","AssertionRelation.EMPTY",""
"Player","Player(game id)","ConditionKind.PARAM","game","ConditionKind.PARAM","game","","","AssertionRelation.EMPTY",""
"Player","Player(game id)","ConditionKind.PARAM","id","ConditionKind.PARAM","id","","","AssertionRelation.EMPTY",""
"Player","getName()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","setName(newName)","ConditionKind.PARAM","newName","ConditionKind.PARAM","newName","","","AssertionRelation.EMPTY",""
"Player","getLabel()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","isUnknownEnemy()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getIndependentNationName()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","setIndependentNationName(newIndependentNationName)","ConditionKind.PARAM","newIndependentNationName","ConditionKind.PARAM","newIndependentNationName","","","AssertionRelation.EMPTY",""
"Player","getNewLandName()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","isNewLandNamed()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","setNewLandName(newLandName)","ConditionKind.PARAM","newLandName","ConditionKind.PARAM","newLandName","","assert receiverObjectID.isNewLandNamed();","AssertionRelation.UNEXPECTED",""
"Player","getNameForNewLand()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getEuropeNameKey()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert receiverObjectID.getEurope()==null ? methodResultID==null;","assert receiverObjectID.getEurope()==null ? methodResultID==null;","AssertionRelation.IDENTICAL",""
"Player","getNationResourceKey()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getNationLabel()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getCountryLabel()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getForcesLabel()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getWaitingLabel()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getDebugName()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getRulerNameKey()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getMonarchKey()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getMarketName()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getCapitalName(random)","ConditionKind.PARAM","random","ConditionKind.PARAM","random","","","AssertionRelation.EMPTY",""
"Player","getCapitalName(random)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getSettlementName(random)","ConditionKind.PARAM","random","ConditionKind.PARAM","random","","","AssertionRelation.EMPTY",""
"Player","getSettlementName(random)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","putSettlementName(name)","ConditionKind.PARAM","name","ConditionKind.PARAM","name","","","AssertionRelation.EMPTY",""
"Player","getNameForRegion(region)","ConditionKind.PARAM","region","ConditionKind.PARAM","region","","","AssertionRelation.EMPTY",""
"Player","getNameForRegion(region)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getNameForUnit(type random)","ConditionKind.PARAM","type","ConditionKind.PARAM","type","","","AssertionRelation.EMPTY",""
"Player","getNameForUnit(type random)","ConditionKind.PARAM","random","ConditionKind.PARAM","random","","","AssertionRelation.EMPTY",""
"Player","getNameForUnit(type random)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getPlayerType()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","changePlayerType(type)","ConditionKind.PARAM","type","ConditionKind.PARAM","type","","","AssertionRelation.EMPTY",""
"Player","isColonial()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","isEuropean()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","isIndian()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","isRebel()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","isUndead()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","isREF()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","isPotentialEnemy(player)","ConditionKind.PARAM","player","ConditionKind.PARAM","player","","","AssertionRelation.EMPTY",""
"Player","isPotentialEnemy(player)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","isPotentialFriend(player)","ConditionKind.PARAM","player","ConditionKind.PARAM","player","","","AssertionRelation.EMPTY",""
"Player","isPotentialFriend(player)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getNationType()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","setNationType(newNationType)","ConditionKind.PARAM","newNationType","ConditionKind.PARAM","newNationType","","","AssertionRelation.EMPTY",""
"Player","changeNationType(newNationType)","ConditionKind.PARAM","newNationType","ConditionKind.PARAM","newNationType","","","AssertionRelation.EMPTY",""
"Player","canBuildColonies()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","canHaveFoundingFathers()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getNationId()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getNation()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","setNation(newNation)","ConditionKind.PARAM","newNation","ConditionKind.PARAM","newNation","","","AssertionRelation.EMPTY",""
"Player","isAdmin()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","isAI()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","setAI(ai)","ConditionKind.PARAM","ai","ConditionKind.PARAM","ai","","","AssertionRelation.EMPTY",""
"Player","isReady()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","setReady(ready)","ConditionKind.PARAM","ready","ConditionKind.PARAM","ready","","","AssertionRelation.EMPTY",""
"Player","isDead()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert receiverObjectID.getDead()?methodResultID==true:methodResultID==false;","assert receiverObjectID.getDead() ? methodResultID == true : methodResultID == false;","AssertionRelation.IDENTICAL",""
"Player","getDead()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert receiverObjectID.isDead()?methodResultID==true:methodResultID==false;","assert receiverObjectID.isDead() ? methodResultID == true : methodResultID == false;","AssertionRelation.IDENTICAL",""
"Player","setDead(dead)","ConditionKind.PARAM","dead","ConditionKind.PARAM","dead","","","AssertionRelation.EMPTY",""
"Player","getAttackedByPrivateers()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","setAttackedByPrivateers(attacked)","ConditionKind.PARAM","attacked","ConditionKind.PARAM","attacked","","","AssertionRelation.EMPTY",""
"Player","isWorkForREF()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getRebels()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getREFPlayer()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getNationColor()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getScore()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","setScore(score)","ConditionKind.PARAM","score","ConditionKind.PARAM","score","","","AssertionRelation.EMPTY",""
"Player","getSpanishSuccessionScore()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getGold()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","setGold(newGold)","ConditionKind.PARAM","newGold","ConditionKind.PARAM","newGold","","","AssertionRelation.EMPTY",""
"Player","checkGold(amount)","ConditionKind.PARAM","amount","ConditionKind.PARAM","amount","","","AssertionRelation.EMPTY",""
"Player","checkGold(amount)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","modifyGold(amount)","ConditionKind.PARAM","amount","ConditionKind.PARAM","amount","","","AssertionRelation.EMPTY",""
"Player","modifyGold(amount)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getBankrupt()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","setBankrupt(newBankrupt)","ConditionKind.PARAM","newBankrupt","ConditionKind.PARAM","newBankrupt","","","AssertionRelation.EMPTY",""
"Player","getImmigration()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","setImmigration(immigration)","ConditionKind.PARAM","immigration","ConditionKind.PARAM","immigration","","","AssertionRelation.EMPTY",""
"Player","modifyImmigration(amount)","ConditionKind.PARAM","amount","ConditionKind.PARAM","amount","","","AssertionRelation.EMPTY",""
"Player","getImmigrationRequired()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","setImmigrationRequired(immigrationRequired)","ConditionKind.PARAM","immigrationRequired","ConditionKind.PARAM","immigrationRequired","","","AssertionRelation.EMPTY",""
"Player","checkEmigrate()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getTotalImmigrationProduction()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getEmigrationMessage(unit)","ConditionKind.PARAM","unit","ConditionKind.PARAM","unit","","","AssertionRelation.EMPTY",""
"Player","getEmigrationMessage(unit)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getLiberty()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","setLiberty(liberty)","ConditionKind.PARAM","liberty","ConditionKind.PARAM","liberty","","","AssertionRelation.EMPTY",""
"Player","modifyLiberty(amount)","ConditionKind.PARAM","amount","ConditionKind.PARAM","amount","","","AssertionRelation.EMPTY",""
"Player","recalculateBellsBonus()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getLibertyProductionNextTurn()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getSoL()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getFathers()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","hasFather(someFather)","ConditionKind.PARAM","someFather","ConditionKind.PARAM","someFather","","","AssertionRelation.EMPTY",""
"Player","hasFather(someFather)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getFatherCount()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","addFather(father)","ConditionKind.PARAM","father","ConditionKind.PARAM","father","","","AssertionRelation.EMPTY",""
"Player","getCurrentFather()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","setCurrentFather(someFather)","ConditionKind.PARAM","someFather","ConditionKind.PARAM","someFather","","","AssertionRelation.EMPTY",""
"Player","getOfferedFathers()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","setOfferedFathers(fathers)","ConditionKind.PARAM","fathers","ConditionKind.PARAM","fathers","","","AssertionRelation.EMPTY",""
"Player","getRemainingFoundingFatherCost()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getTotalFoundingFatherCost()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getElectionTurns()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","checkDeclareIndependence()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","calculateStrength(naval)","ConditionKind.PARAM","naval","ConditionKind.PARAM","naval","","","AssertionRelation.EMPTY",""
"Player","calculateStrength(naval)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getRebelStrengthRatio(naval)","ConditionKind.PARAM","naval","ConditionKind.PARAM","naval","","","AssertionRelation.EMPTY",""
"Player","getRebelStrengthRatio(naval)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getTax()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","setTax(amount)","ConditionKind.PARAM","amount","ConditionKind.PARAM","amount","","","AssertionRelation.EMPTY",""
"Player","getMarket()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getLastSale(where what)","ConditionKind.PARAM","where","ConditionKind.PARAM","where","","","AssertionRelation.EMPTY",""
"Player","getLastSale(where what)","ConditionKind.PARAM","what","ConditionKind.PARAM","what","","","AssertionRelation.EMPTY",""
"Player","getLastSale(where what)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","addLastSale(sale)","ConditionKind.PARAM","sale","ConditionKind.PARAM","sale","","","AssertionRelation.EMPTY",""
"Player","getLastSaleString(where what)","ConditionKind.PARAM","where","ConditionKind.PARAM","where","","","AssertionRelation.EMPTY",""
"Player","getLastSaleString(where what)","ConditionKind.PARAM","what","ConditionKind.PARAM","what","","","AssertionRelation.EMPTY",""
"Player","getLastSaleString(where what)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getArrears(type)","ConditionKind.PARAM","type","ConditionKind.PARAM","type","","","AssertionRelation.EMPTY",""
"Player","getArrears(type)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","canTrade(type)","ConditionKind.PARAM","type","ConditionKind.PARAM","type","","","AssertionRelation.EMPTY",""
"Player","canTrade(type)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","canTrade(type access)","ConditionKind.PARAM","type","ConditionKind.PARAM","type","","","AssertionRelation.EMPTY",""
"Player","canTrade(type access)","ConditionKind.PARAM","access","ConditionKind.PARAM","access","","","AssertionRelation.EMPTY",""
"Player","canTrade(type access)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getSales(goodsType)","ConditionKind.PARAM","goodsType","ConditionKind.PARAM","goodsType","","","AssertionRelation.EMPTY",""
"Player","getSales(goodsType)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","modifySales(goodsType amount)","ConditionKind.PARAM","goodsType","ConditionKind.PARAM","goodsType","","","AssertionRelation.EMPTY",""
"Player","modifySales(goodsType amount)","ConditionKind.PARAM","amount","ConditionKind.PARAM","amount","","","AssertionRelation.EMPTY",""
"Player","hasTraded(goodsType)","ConditionKind.PARAM","goodsType","ConditionKind.PARAM","goodsType","","","AssertionRelation.EMPTY",""
"Player","hasTraded(goodsType)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getMostValuableGoods()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","getIncomeBeforeTaxes(goodsType)","ConditionKind.PARAM","goodsType","ConditionKind.PARAM","goodsType","","","AssertionRelation.EMPTY",""
"Player","getIncomeBeforeTaxes(goodsType)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Player","modifyIncomeBeforeTaxes(goodsType amount)","ConditionKind.PARAM","goodsType","ConditionKind.PARAM","goodsType","","","AssertionRelation.EMPTY",""
"Player","modifyIncomeBeforeTaxes(goodsType amount)","ConditionKind.PARAM","amount","ConditionKind.PARAM","amount","","","AssertionRelation.EMPTY",""
"Player","getIncomeAfterTaxes(goodsType)","ConditionKind.PARAM","goodsType","ConditionKind.PARAM","goodsType","","","AssertionRelation.EMPTY",""
