"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"GraphMetrics","getDiagonal()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID == receiverObjectID.diagonal;","assert true ? methodResultID == receiverObjectID.diagonal;","AssertionRelation.IDENTICAL",""
"GraphMetrics","getSize()","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? methodResultID.equals(receiverObjectID.size);","assert true ? methodResultID.equals(receiverObjectID.size);","AssertionRelation.IDENTICAL",""
"GraphMetrics","getLowPoint()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"GraphMetrics","getHighPoint()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"GraphMetrics","lengthToGu(value units)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","","AssertionRelation.EMPTY",""
"GraphMetrics","lengthToGu(value units)","ConditionKind.PARAM","units","ConditionKind.PARAM","units","","","AssertionRelation.EMPTY",""
"GraphMetrics","lengthToGu(value units)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert true ? methodResultID == args[0];","AssertionRelation.UNEXPECTED",""
"GraphMetrics","lengthToGu(value)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","","AssertionRelation.EMPTY",""
"GraphMetrics","lengthToGu(values index)","ConditionKind.PARAM","values","ConditionKind.PARAM","values","","","AssertionRelation.EMPTY",""
"GraphMetrics","lengthToGu(values index)","ConditionKind.PARAM","index","ConditionKind.PARAM","index","","","AssertionRelation.EMPTY",""
"GraphMetrics","lengthToPx(value units)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","","AssertionRelation.EMPTY",""
"GraphMetrics","lengthToPx(value units)","ConditionKind.PARAM","units","ConditionKind.PARAM","units","","","AssertionRelation.EMPTY",""
"GraphMetrics","lengthToPx(value units)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"GraphMetrics","lengthToPx(value)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","","AssertionRelation.EMPTY",""
"GraphMetrics","lengthToPx(values index)","ConditionKind.PARAM","values","ConditionKind.PARAM","values","","","AssertionRelation.EMPTY",""
"GraphMetrics","lengthToPx(values index)","ConditionKind.PARAM","index","ConditionKind.PARAM","index","","","AssertionRelation.EMPTY",""
"GraphMetrics","setViewport(viewportX viewportY viewportWidth viewportHeight)","ConditionKind.PARAM","viewportWidth","ConditionKind.PARAM","viewportWidth","","","AssertionRelation.EMPTY",""
"GraphMetrics","setViewport(viewportX viewportY viewportWidth viewportHeight)","ConditionKind.PARAM","viewportHeight","ConditionKind.PARAM","viewportHeight","","","AssertionRelation.EMPTY",""
"GraphMetrics","setRatioPx2Gu(ratio)","ConditionKind.PARAM","ratio","ConditionKind.PARAM","ratio","","","AssertionRelation.EMPTY",""
"GraphMetrics","setBounds(minx miny minz maxx maxy maxz)","ConditionKind.PARAM","minx","ConditionKind.PARAM","minx","","","AssertionRelation.EMPTY",""
"GraphMetrics","setBounds(minx miny minz maxx maxy maxz)","ConditionKind.PARAM","miny","ConditionKind.PARAM","miny","","","AssertionRelation.EMPTY",""
"GraphMetrics","setBounds(minx miny minz maxx maxy maxz)","ConditionKind.PARAM","minz","ConditionKind.PARAM","minz","","","AssertionRelation.EMPTY",""
"GraphMetrics","setBounds(minx miny minz maxx maxy maxz)","ConditionKind.PARAM","maxx","ConditionKind.PARAM","maxx","","","AssertionRelation.EMPTY",""
"GraphMetrics","setBounds(minx miny minz maxx maxy maxz)","ConditionKind.PARAM","maxy","ConditionKind.PARAM","maxy","","","AssertionRelation.EMPTY",""
"GraphMetrics","setBounds(minx miny minz maxx maxy maxz)","ConditionKind.PARAM","maxz","ConditionKind.PARAM","maxz","","","AssertionRelation.EMPTY",""
