"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"CharMatcher","inRange(startInclusive endInclusive)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[1]<args[0];","assert args[1]<args[0];","AssertionRelation.IDENTICAL",""
"CharMatcher","matchesAnyOf(sequence)","ConditionKind.PARAM","sequence","ConditionKind.PARAM","sequence","","","AssertionRelation.EMPTY",""
"CharMatcher","matchesAnyOf(sequence)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CharMatcher","matchesAllOf(sequence)","ConditionKind.PARAM","sequence","ConditionKind.PARAM","sequence","","","AssertionRelation.EMPTY",""
"CharMatcher","matchesAllOf(sequence)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CharMatcher","matchesNoneOf(sequence)","ConditionKind.PARAM","sequence","ConditionKind.PARAM","sequence","","","AssertionRelation.EMPTY",""
"CharMatcher","matchesNoneOf(sequence)","ConditionKind.RETURN","","ConditionKind.RETURN","","","assert receiverObjectID.matchesAllOf(args[0]) ? methodResultID == true;","AssertionRelation.UNEXPECTED",""
"CharMatcher","indexIn(sequence)","ConditionKind.PARAM","sequence","ConditionKind.PARAM","sequence","","","AssertionRelation.EMPTY",""
"CharMatcher","indexIn(sequence)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CharMatcher","indexIn(sequence start)","ConditionKind.PARAM","sequence","ConditionKind.PARAM","sequence","","","AssertionRelation.EMPTY",""
"CharMatcher","indexIn(sequence start)","ConditionKind.PARAM","start","ConditionKind.PARAM","start","assert (args[0]<0) == false && args[1]!=null && (args[0]>args[1].length()) == false;","","AssertionRelation.MISSING",""
"CharMatcher","indexIn(sequence start)","ConditionKind.THROWS","IndexOutOfBoundsException","ConditionKind.THROWS","IndexOutOfBoundsException","assert args[1]<0 || args[0]!=null && args[1]>args[0].length();","assert args[1]<0 || args[1]>args[0].length();","AssertionRelation.STRONGER",""
"CharMatcher","indexIn(sequence start)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CharMatcher","lastIndexIn(sequence)","ConditionKind.PARAM","sequence","ConditionKind.PARAM","sequence","","","AssertionRelation.EMPTY",""
"CharMatcher","lastIndexIn(sequence)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CharMatcher","replaceFrom(sequence replacement)","ConditionKind.PARAM","sequence","ConditionKind.PARAM","sequence","","","AssertionRelation.EMPTY",""
"CharMatcher","replaceFrom(sequence replacement)","ConditionKind.PARAM","replacement","ConditionKind.PARAM","replacement","","","AssertionRelation.EMPTY",""
"CharMatcher","replaceFrom(sequence replacement)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CharMatcher","replaceFrom(sequence replacement)","ConditionKind.PARAM","sequence","ConditionKind.PARAM","sequence","","","AssertionRelation.EMPTY",""
"CharMatcher","replaceFrom(sequence replacement)","ConditionKind.PARAM","replacement","ConditionKind.PARAM","replacement","","","AssertionRelation.EMPTY",""
"CharMatcher","replaceFrom(sequence replacement)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CharMatcher","collapseFrom(sequence replacement)","ConditionKind.PARAM","sequence","ConditionKind.PARAM","sequence","","","AssertionRelation.EMPTY",""
"CharMatcher","collapseFrom(sequence replacement)","ConditionKind.PARAM","replacement","ConditionKind.PARAM","replacement","","","AssertionRelation.EMPTY",""
"CharMatcher","collapseFrom(sequence replacement)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
