"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Splitter","on(separator)","ConditionKind.PARAM","separator","ConditionKind.PARAM","separator","","","AssertionRelation.EMPTY",""
"Splitter","on(separator)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Splitter","on(separatorMatcher)","ConditionKind.PARAM","separatorMatcher","ConditionKind.PARAM","separatorMatcher","","","AssertionRelation.EMPTY",""
"Splitter","on(separatorMatcher)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Splitter","on(separator)","ConditionKind.PARAM","separator","ConditionKind.PARAM","separator","assert (args[0]==null) == false;","","AssertionRelation.MISSING",""
"Splitter","on(separator)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Splitter","on(separatorPattern)","ConditionKind.PARAM","separatorPattern","ConditionKind.PARAM","separatorPattern","","","AssertionRelation.EMPTY",""
"Splitter","on(separatorPattern)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","","AssertionRelation.EMPTY",""
"Splitter","on(separatorPattern)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Splitter","onPattern(separatorPattern)","ConditionKind.PARAM","separatorPattern","ConditionKind.PARAM","separatorPattern","","","AssertionRelation.EMPTY",""
"Splitter","onPattern(separatorPattern)","ConditionKind.THROWS","PatternSyntaxException","ConditionKind.THROWS","PatternSyntaxException","","","AssertionRelation.EMPTY",""
"Splitter","onPattern(separatorPattern)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","","AssertionRelation.EMPTY",""
"Splitter","onPattern(separatorPattern)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Splitter","fixedLength(length)","ConditionKind.PARAM","length","ConditionKind.PARAM","length","assert args[0]>0;","","AssertionRelation.MISSING",""
"Splitter","fixedLength(length)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[0]==0 || args[0]<0;","assert args[0]==0 || args[0]<0;","AssertionRelation.IDENTICAL",""
"Splitter","fixedLength(length)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Splitter","omitEmptyStrings()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Splitter","limit(limit)","ConditionKind.PARAM","limit","ConditionKind.PARAM","limit","","","AssertionRelation.EMPTY",""
"Splitter","limit(limit)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Splitter","trimResults()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Splitter","split(sequence)","ConditionKind.PARAM","sequence","ConditionKind.PARAM","sequence","","","AssertionRelation.EMPTY",""
"Splitter","split(sequence)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Splitter","splitToList(sequence)","ConditionKind.PARAM","sequence","ConditionKind.PARAM","sequence","","","AssertionRelation.EMPTY",""
"Splitter","splitToList(sequence)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
