"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Strings","nullToEmpty(string)","ConditionKind.PARAM","string","ConditionKind.PARAM","string","","","AssertionRelation.EMPTY",""
"Strings","nullToEmpty(string)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[0]!=null ? methodResultID.equals(args[0]) : methodResultID.equals("""") ;","assert args[0]!=null ? methodResultID.equals(args[0]) : methodResultID.equals("""");","AssertionRelation.IDENTICAL",""
"Strings","emptyToNull(string)","ConditionKind.PARAM","string","ConditionKind.PARAM","string","","","AssertionRelation.EMPTY",""
"Strings","emptyToNull(string)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[0]==null || args[0].isEmpty() ? methodResultID==null : methodResultID.equals(args[0]);","assert (args[0].isEmpty()) == false ? (methodResultID.equals(args[0])||methodResultID==null);","AssertionRelation.STRONGER",""
"Strings","isNullOrEmpty(string)","ConditionKind.PARAM","string","ConditionKind.PARAM","string","","","AssertionRelation.EMPTY",""
"Strings","isNullOrEmpty(string)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[0]==null || args[0].isEmpty() ? methodResultID==true;","assert args[0]==null ? methodResultID == true : methodResultID == false;","AssertionRelation.INCOMPARABLE",""
"Strings","padStart(string minLength padChar)","ConditionKind.PARAM","string","ConditionKind.PARAM","string","","","AssertionRelation.EMPTY",""
"Strings","padStart(string minLength padChar)","ConditionKind.PARAM","minLength","ConditionKind.PARAM","minLength","","","AssertionRelation.EMPTY",""
"Strings","padStart(string minLength padChar)","ConditionKind.PARAM","padChar","ConditionKind.PARAM","padChar","","","AssertionRelation.EMPTY",""
"Strings","padStart(string minLength padChar)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Strings","padEnd(string minLength padChar)","ConditionKind.PARAM","string","ConditionKind.PARAM","string","","","AssertionRelation.EMPTY",""
"Strings","padEnd(string minLength padChar)","ConditionKind.PARAM","minLength","ConditionKind.PARAM","minLength","","","AssertionRelation.EMPTY",""
"Strings","padEnd(string minLength padChar)","ConditionKind.PARAM","padChar","ConditionKind.PARAM","padChar","","","AssertionRelation.EMPTY",""
"Strings","padEnd(string minLength padChar)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Strings","repeat(string count)","ConditionKind.PARAM","string","ConditionKind.PARAM","string","assert args[0]!=null;","assert args[0]!=null;","AssertionRelation.IDENTICAL",""
"Strings","repeat(string count)","ConditionKind.PARAM","count","ConditionKind.PARAM","count","assert (args[1]<0) == false;","","AssertionRelation.MISSING",""
"Strings","repeat(string count)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[1]<0;","assert args[1]<0;","AssertionRelation.IDENTICAL",""
"Strings","repeat(string count)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert args[1]==0 ? methodResultID.equals("""");","assert args[1]==0 ? methodResultID.equals(args[0]);","AssertionRelation.UNSUPPORTED","list index out of range"
