"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"CacheLoader","load(key)","ConditionKind.PARAM","key","ConditionKind.PARAM","key","assert args[0]!=null;","assert args[0]!=null;","AssertionRelation.IDENTICAL",""
"CacheLoader","load(key)","ConditionKind.THROWS","Exception","ConditionKind.THROWS","Exception","","","AssertionRelation.EMPTY",""
"CacheLoader","load(key)","ConditionKind.THROWS","InterruptedException","ConditionKind.THROWS","InterruptedException","","","AssertionRelation.EMPTY",""
"CacheLoader","load(key)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? (methodResultID==null)==false;","assert true ? (methodResultID==null) == false;","AssertionRelation.IDENTICAL",""
"CacheLoader","reload(key oldValue)","ConditionKind.PARAM","key","ConditionKind.PARAM","key","assert args[0]!=null;","assert args[0]!=null;","AssertionRelation.IDENTICAL",""
"CacheLoader","reload(key oldValue)","ConditionKind.PARAM","oldValue","ConditionKind.PARAM","oldValue","assert args[1]!=null;","assert args[1]!=null;","AssertionRelation.IDENTICAL",""
"CacheLoader","reload(key oldValue)","ConditionKind.THROWS","Exception","ConditionKind.THROWS","Exception","","","AssertionRelation.EMPTY",""
"CacheLoader","reload(key oldValue)","ConditionKind.THROWS","InterruptedException","ConditionKind.THROWS","InterruptedException","","","AssertionRelation.EMPTY",""
"CacheLoader","reload(key oldValue)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true ? (methodResultID==null)==false;","assert true ? (methodResultID==null) == false;","AssertionRelation.IDENTICAL",""
"CacheLoader","loadAll(keys)","ConditionKind.PARAM","keys","ConditionKind.PARAM","keys","","","AssertionRelation.EMPTY",""
"CacheLoader","loadAll(keys)","ConditionKind.THROWS","Exception","ConditionKind.THROWS","Exception","","","AssertionRelation.EMPTY",""
"CacheLoader","loadAll(keys)","ConditionKind.THROWS","InterruptedException","ConditionKind.THROWS","InterruptedException","","","AssertionRelation.EMPTY",""
"CacheLoader","loadAll(keys)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CacheLoader","from(function)","ConditionKind.PARAM","function","ConditionKind.PARAM","function","assert (args[0]==null)==false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"CacheLoader","from(function)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"CacheLoader","from(supplier)","ConditionKind.PARAM","supplier","ConditionKind.PARAM","supplier","assert (args[0]==null)==false;","assert (args[0]==null) == false;","AssertionRelation.IDENTICAL",""
"CacheLoader","from(supplier)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
