"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"ImmutableSortedMap","of(k1 v1 k2 v2)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","","AssertionRelation.EMPTY",""
"ImmutableSortedMap","of(k1 v1 k2 v2 k3 v3)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","","AssertionRelation.EMPTY",""
"ImmutableSortedMap","of(k1 v1 k2 v2 k3 v3 k4 v4)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","","AssertionRelation.EMPTY",""
"ImmutableSortedMap","of(k1 v1 k2 v2 k3 v3 k4 v4 k5 v5)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","","AssertionRelation.EMPTY",""
"ImmutableSortedMap","copyOf(map)","ConditionKind.THROWS","ClassCastException","ConditionKind.THROWS","ClassCastException","","","AssertionRelation.EMPTY",""
"ImmutableSortedMap","copyOf(map)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","","","AssertionRelation.EMPTY",""
"ImmutableSortedMap","copyOf(map)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","","AssertionRelation.EMPTY",""
"ImmutableSortedMap","copyOf(map comparator)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","","","AssertionRelation.EMPTY",""
"ImmutableSortedMap","copyOf(map comparator)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","","AssertionRelation.EMPTY",""
"ImmutableSortedMap","copyOf(entries)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","","","AssertionRelation.EMPTY",""
"ImmutableSortedMap","copyOf(entries)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","","AssertionRelation.EMPTY",""
"ImmutableSortedMap","copyOf(entries comparator)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","","","AssertionRelation.EMPTY",""
"ImmutableSortedMap","copyOf(entries comparator)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","","AssertionRelation.EMPTY",""
"ImmutableSortedMap","copyOfSorted(map)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","","","AssertionRelation.EMPTY",""
"ImmutableSortedMap","orderedBy(comparator)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"ImmutableSortedMap","pollFirstEntry()","ConditionKind.THROWS","UnsupportedOperationException","ConditionKind.THROWS","UnsupportedOperationException","assert true;","assert true;","AssertionRelation.IDENTICAL",""
"ImmutableSortedMap","pollLastEntry()","ConditionKind.THROWS","UnsupportedOperationException","ConditionKind.THROWS","UnsupportedOperationException","assert true;","assert true;","AssertionRelation.IDENTICAL",""
