"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"UnicodeEscaper","escape(cp)","ConditionKind.PARAM","cp","ConditionKind.PARAM","cp","","","AssertionRelation.EMPTY",""
"UnicodeEscaper","escape(cp)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"UnicodeEscaper","nextEscapeIndex(csq start end)","ConditionKind.PARAM","csq","ConditionKind.PARAM","csq","","","AssertionRelation.EMPTY",""
"UnicodeEscaper","nextEscapeIndex(csq start end)","ConditionKind.PARAM","start","ConditionKind.PARAM","start","","","AssertionRelation.EMPTY",""
"UnicodeEscaper","nextEscapeIndex(csq start end)","ConditionKind.PARAM","end","ConditionKind.PARAM","end","","","AssertionRelation.EMPTY",""
"UnicodeEscaper","nextEscapeIndex(csq start end)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","","AssertionRelation.EMPTY",""
"UnicodeEscaper","escape(string)","ConditionKind.PARAM","string","ConditionKind.PARAM","string","","","AssertionRelation.EMPTY",""
"UnicodeEscaper","escape(string)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"UnicodeEscaper","escape(string)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","","AssertionRelation.EMPTY",""
"UnicodeEscaper","escape(string)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"UnicodeEscaper","escapeSlow(s index)","ConditionKind.PARAM","s","ConditionKind.PARAM","s","","","AssertionRelation.EMPTY",""
"UnicodeEscaper","escapeSlow(s index)","ConditionKind.PARAM","index","ConditionKind.PARAM","index","","","AssertionRelation.EMPTY",""
"UnicodeEscaper","escapeSlow(s index)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"UnicodeEscaper","escapeSlow(s index)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","","","AssertionRelation.EMPTY",""
"UnicodeEscaper","escapeSlow(s index)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"UnicodeEscaper","codePointAt(seq index end)","ConditionKind.PARAM","seq","ConditionKind.PARAM","seq","","","AssertionRelation.EMPTY",""
"UnicodeEscaper","codePointAt(seq index end)","ConditionKind.PARAM","index","ConditionKind.PARAM","index","","","AssertionRelation.EMPTY",""
"UnicodeEscaper","codePointAt(seq index end)","ConditionKind.PARAM","end","ConditionKind.PARAM","end","","","AssertionRelation.EMPTY",""
"UnicodeEscaper","codePointAt(seq index end)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
