"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"BloomFilter","put(object)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"BloomFilter","isCompatible(that)","ConditionKind.PARAM","that","ConditionKind.PARAM","that","","","AssertionRelation.EMPTY",""
"BloomFilter","putAll(that)","ConditionKind.PARAM","that","ConditionKind.PARAM","that","","","AssertionRelation.EMPTY",""
"BloomFilter","putAll(that)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert receiverObjectID.isCompatible(args[0])==false;","","AssertionRelation.MISSING",""
"BloomFilter","create(funnel expectedInsertions fpp)","ConditionKind.PARAM","funnel","ConditionKind.PARAM","funnel","","","AssertionRelation.EMPTY",""
"BloomFilter","create(funnel expectedInsertions fpp)","ConditionKind.PARAM","expectedInsertions","ConditionKind.PARAM","expectedInsertions","assert args[1]>0;","assert args[1]>0;","AssertionRelation.IDENTICAL",""
"BloomFilter","create(funnel expectedInsertions fpp)","ConditionKind.PARAM","fpp","ConditionKind.PARAM","fpp","assert args[2]>0 && args[2]<1.0;","assert args[2]>0 && args[2]<1.0;","AssertionRelation.IDENTICAL",""
"BloomFilter","create(funnel expectedInsertions fpp)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"BloomFilter","create(funnel expectedInsertions fpp)","ConditionKind.PARAM","funnel","ConditionKind.PARAM","funnel","","","AssertionRelation.EMPTY",""
"BloomFilter","create(funnel expectedInsertions fpp)","ConditionKind.PARAM","expectedInsertions","ConditionKind.PARAM","expectedInsertions","assert args[1]>0;","assert args[1]>0;","AssertionRelation.IDENTICAL",""
"BloomFilter","create(funnel expectedInsertions fpp)","ConditionKind.PARAM","fpp","ConditionKind.PARAM","fpp","assert args[2]>0 && args[2]<1.0;","assert args[2]>0 && args[2]<1.0;","AssertionRelation.IDENTICAL",""
"BloomFilter","create(funnel expectedInsertions fpp)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"BloomFilter","create(funnel expectedInsertions)","ConditionKind.PARAM","funnel","ConditionKind.PARAM","funnel","","","AssertionRelation.EMPTY",""
"BloomFilter","create(funnel expectedInsertions)","ConditionKind.PARAM","expectedInsertions","ConditionKind.PARAM","expectedInsertions","assert args[1]>0;","assert args[1]>0;","AssertionRelation.IDENTICAL",""
"BloomFilter","create(funnel expectedInsertions)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"BloomFilter","create(funnel expectedInsertions)","ConditionKind.PARAM","funnel","ConditionKind.PARAM","funnel","","","AssertionRelation.EMPTY",""
"BloomFilter","create(funnel expectedInsertions)","ConditionKind.PARAM","expectedInsertions","ConditionKind.PARAM","expectedInsertions","assert args[1]>0;","assert args[1]>0;","AssertionRelation.IDENTICAL",""
"BloomFilter","create(funnel expectedInsertions)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"BloomFilter","optimalNumOfHashFunctions(n m)","ConditionKind.PARAM","n","ConditionKind.PARAM","n","assert args[0]>0;","assert args[0]>0;","AssertionRelation.IDENTICAL",""
"BloomFilter","optimalNumOfHashFunctions(n m)","ConditionKind.PARAM","m","ConditionKind.PARAM","m","assert args[1]>0;","assert args[1]>0;","AssertionRelation.IDENTICAL",""
"BloomFilter","optimalNumOfBits(n p)","ConditionKind.PARAM","n","ConditionKind.PARAM","n","assert args[0]>0;","assert args[0]>0;","AssertionRelation.IDENTICAL",""
"BloomFilter","optimalNumOfBits(n p)","ConditionKind.PARAM","p","ConditionKind.PARAM","p","","","AssertionRelation.EMPTY",""
"BloomFilter","readFrom(in funnel)","ConditionKind.THROWS","IOException","ConditionKind.THROWS","IOException","","","AssertionRelation.EMPTY",""
