"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"Floats","hashCode(value)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","","AssertionRelation.EMPTY",""
"Floats","hashCode(value)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Floats","compare(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"Floats","compare(a b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","","AssertionRelation.EMPTY",""
"Floats","compare(a b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Floats","contains(array target)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","","","AssertionRelation.EMPTY",""
"Floats","contains(array target)","ConditionKind.PARAM","target","ConditionKind.PARAM","target","","","AssertionRelation.EMPTY",""
"Floats","contains(array target)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Floats","indexOf(array target)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","","","AssertionRelation.EMPTY",""
"Floats","indexOf(array target)","ConditionKind.PARAM","target","ConditionKind.PARAM","target","","","AssertionRelation.EMPTY",""
"Floats","indexOf(array target)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Floats","indexOf(array target)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","","","AssertionRelation.EMPTY",""
"Floats","indexOf(array target)","ConditionKind.PARAM","target","ConditionKind.PARAM","target","","","AssertionRelation.EMPTY",""
"Floats","lastIndexOf(array target)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","","","AssertionRelation.EMPTY",""
"Floats","lastIndexOf(array target)","ConditionKind.PARAM","target","ConditionKind.PARAM","target","","","AssertionRelation.EMPTY",""
"Floats","lastIndexOf(array target)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Floats","min(array)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","assert args[0]!=null && (args[0].length==0)==false;","assert (args[0].length==0) == false;","AssertionRelation.STRONGER",""
"Floats","min(array)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[0]!=null && args[0].length==0;","assert args[0].length==0;","AssertionRelation.STRONGER",""
"Floats","min(array)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Floats","max(array)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","assert args[0]!=null && (args[0].length==0)==false;","assert (args[0].length==0) == false;","AssertionRelation.STRONGER",""
"Floats","max(array)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[0]!=null && args[0].length==0;","assert args[0].length==0;","AssertionRelation.STRONGER",""
"Floats","max(array)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Floats","concat(arrays)","ConditionKind.PARAM","arrays","ConditionKind.PARAM","arrays","","","AssertionRelation.EMPTY",""
"Floats","concat(arrays)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Floats","ensureCapacity(array minLength padding)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","","","AssertionRelation.EMPTY",""
"Floats","ensureCapacity(array minLength padding)","ConditionKind.PARAM","minLength","ConditionKind.PARAM","minLength","","","AssertionRelation.EMPTY",""
"Floats","ensureCapacity(array minLength padding)","ConditionKind.PARAM","padding","ConditionKind.PARAM","padding","","","AssertionRelation.EMPTY",""
"Floats","ensureCapacity(array minLength padding)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[1]<0 || args[2]<0;","assert args[1]<0 || args[2]<0;","AssertionRelation.IDENTICAL",""
"Floats","ensureCapacity(array minLength padding)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Floats","join(separator array)","ConditionKind.PARAM","separator","ConditionKind.PARAM","separator","","","AssertionRelation.EMPTY",""
"Floats","join(separator array)","ConditionKind.PARAM","array","ConditionKind.PARAM","array","","","AssertionRelation.EMPTY",""
"Floats","toArray(collection)","ConditionKind.PARAM","collection","ConditionKind.PARAM","collection","","","AssertionRelation.EMPTY",""
"Floats","toArray(collection)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null || args[0].contains(null);","assert args[0]==null;","AssertionRelation.WEAKER",""
"Floats","toArray(collection)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Floats","asList(backingArray)","ConditionKind.PARAM","backingArray","ConditionKind.PARAM","backingArray","","","AssertionRelation.EMPTY",""
"Floats","asList(backingArray)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"Floats","tryParse(string)","ConditionKind.PARAM","string","ConditionKind.PARAM","string","","","AssertionRelation.EMPTY",""
"Floats","tryParse(string)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
