class_fqn,param_precision,param_recall,return_precision,return_recall,throws_precision,throws_recall,overall_precision,overall_recall,overall_f1
CharMatcher,,0.0,0.0,,0.5,0.5,0.3333333333333333,0.3333333333333333,
Converter,1.0,1.0,1.0,1.0,,,1.0,1.0,
MoreObjects,,,0.0,0.0,1.0,1.0,0.5,0.5,
Splitter,,0.0,,,1.0,1.0,1.0,0.3333333333333333,
Strings,1.0,0.5,0.25,0.25,1.0,1.0,0.5,0.42857142857142855,
Throwables,1.0,1.0,,,,,1.0,1.0,
Verify,,,1.0,1.0,1.0,1.0,1.0,1.0,
CacheLoader,1.0,1.0,1.0,1.0,,,1.0,1.0,
ArrayListMultimap,,,,,1.0,1.0,1.0,1.0,
ConcurrentHashMultiset,0.0,0.0,,,0.8,0.8,0.6666666666666666,0.6666666666666666,
ImmutableSortedMapFauxverideShim,,,,,1.0,1.0,1.0,1.0,
ImmutableSortedMap,,,,,1.0,1.0,1.0,1.0,
Iterators,,,,,1.0,1.0,1.0,1.0,
UnicodeEscaper,,,,,1.0,1.0,1.0,1.0,
BloomFilter,1.0,1.0,,,,0.0,1.0,0.9,
Hashing,,0.0,,,,,,0.0,
Doubles,0.0,0.0,,,0.25,0.25,0.16666666666666666,0.16666666666666666,
Floats,0.0,0.0,,,0.25,0.25,0.16666666666666666,0.16666666666666666,
Shorts,0.0,0.0,,,0.25,0.16666666666666666,0.16666666666666666,0.125,
AtomicDoubleArray,,,,,1.0,1.0,1.0,1.0,
