class_fqn,param_precision,param_recall,return_precision,return_recall,throws_precision,throws_recall,overall_precision,overall_recall,overall_f1
Graph,,,1.0,1.0,1.0,0.5555555555555556,1.0,0.6923076923076923,
CompleteGraphGenerator,,,,,1.0,1.0,1.0,1.0,
Graphs,,,0.0,0.0,0.0,0.0,0.0,0.0,
EmptyGraphGenerator,,,,,1.0,1.0,1.0,1.0,
AbstractPathElementList,,,,,1.0,0.8,1.0,0.8,
LinearGraphGenerator,,,,,1.0,1.0,1.0,1.0,
KShortestPaths,,,,,1.0,1.0,1.0,1.0,
AbstractGraph,0.0,,,,1.0,0.5,0.5,0.5,
DirectedSimpleCycles,,,,0.0,1.0,1.0,1.0,0.6666666666666666,
GraphDelegator,,,,,1.0,1.0,1.0,1.0,
PatonCycleBase,,,,,1.0,1.0,1.0,1.0,
