"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"AbstractGraph","toString()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"AbstractGraph","assertVertexExist(v)","ConditionKind.PARAM","v","ConditionKind.PARAM","v","","","AssertionRelation.EMPTY",""
"AbstractGraph","assertVertexExist(v)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"AbstractGraph","assertVertexExist(v)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert receiverObjectID.containsVertex(arg[0])==false;","","AssertionRelation.MISSING",""
"AbstractGraph","assertVertexExist(v)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"AbstractGraph","removeAllEdges(edges)","ConditionKind.PARAM","edges","ConditionKind.PARAM","edges","","","AssertionRelation.EMPTY",""
"AbstractGraph","removeAllEdges(edges)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"AbstractGraph","toStringFromSets(vertexSet edgeSet directed)","ConditionKind.PARAM","vertexSet","ConditionKind.PARAM","vertexSet","","","AssertionRelation.EMPTY",""
"AbstractGraph","toStringFromSets(vertexSet edgeSet directed)","ConditionKind.PARAM","edgeSet","ConditionKind.PARAM","edgeSet","","","AssertionRelation.EMPTY",""
"AbstractGraph","toStringFromSets(vertexSet edgeSet directed)","ConditionKind.PARAM","directed","ConditionKind.PARAM","directed","","assert args[2]==false;","AssertionRelation.UNEXPECTED",""
"AbstractGraph","toStringFromSets(vertexSet edgeSet directed)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"AbstractGraph","hashCode()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"AbstractGraph","equals(obj)","ConditionKind.PARAM","obj","ConditionKind.PARAM","obj","","","AssertionRelation.EMPTY",""
"AbstractGraph","equals(obj)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
