class_fqn,param_precision,param_recall,return_precision,return_recall,throws_precision,throws_recall,overall_precision,overall_recall,overall_f1
ArraysMDE,0.0,,,,0.0,0.0,0.0,0.0,
EntryReader,1.0,1.0,,,,,1.0,1.0,
FuzzyFloat,,,,,,,,,
MathMDE,,0.0,0.9333333333333333,1.0,,,0.9333333333333333,0.9333333333333333,
RegexUtil,,,1.0,1.0,1.0,1.0,1.0,1.0,
StrTok,,,,,,,,,
TimeLimitProcess,1.0,1.0,,,,,1.0,1.0,
UtilMDE,,,0.25,0.3333333333333333,,,0.25,0.3333333333333333,
WeakHasherMap,,,,,1.0,1.0,1.0,1.0,
WeakIdentityHashMap,,,,,1.0,1.0,1.0,1.0,
