"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"ArraysMDE","min(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"ArraysMDE","min(a)","ConditionKind.THROWS","ArrayIndexOutOfBoundsException","ConditionKind.THROWS","ArrayIndexOutOfBoundsException","assert args[0]!=null && args[0].length==0;","assert args[0].length==0;","AssertionRelation.STRONGER",""
"ArraysMDE","min(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"ArraysMDE","min(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"ArraysMDE","min(a)","ConditionKind.THROWS","ArrayIndexOutOfBoundsException","ConditionKind.THROWS","ArrayIndexOutOfBoundsException","assert args[0]!=null && args[0].length==0;","assert args[0].length==0;","AssertionRelation.STRONGER",""
"ArraysMDE","min(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"ArraysMDE","min(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"ArraysMDE","min(a)","ConditionKind.THROWS","ArrayIndexOutOfBoundsException","ConditionKind.THROWS","ArrayIndexOutOfBoundsException","assert args[0]!=null && args[0].length==0;","assert args[0].length==0;","AssertionRelation.STRONGER",""
"ArraysMDE","min(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"ArraysMDE","min(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"ArraysMDE","min(a)","ConditionKind.THROWS","ArrayIndexOutOfBoundsException","ConditionKind.THROWS","ArrayIndexOutOfBoundsException","assert args[0]!=null && args[0].length==0;","assert args[0].length==0;","AssertionRelation.STRONGER",""
"ArraysMDE","min(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
