"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"EntryReader","EntryReader(in charsetName filename comment_re_string include_re_string)","ConditionKind.PARAM","in","ConditionKind.PARAM","in","","","AssertionRelation.EMPTY",""
"EntryReader","EntryReader(in charsetName filename comment_re_string include_re_string)","ConditionKind.PARAM","charsetName","ConditionKind.PARAM","charsetName","","","AssertionRelation.EMPTY",""
"EntryReader","EntryReader(in charsetName filename comment_re_string include_re_string)","ConditionKind.PARAM","filename","ConditionKind.PARAM","filename","assert args[2]!=null;","assert args[2]!=null;","AssertionRelation.IDENTICAL",""
"EntryReader","EntryReader(in charsetName filename comment_re_string include_re_string)","ConditionKind.PARAM","comment_re_string","ConditionKind.PARAM","comment_re_string","","","AssertionRelation.EMPTY",""
"EntryReader","EntryReader(in charsetName filename comment_re_string include_re_string)","ConditionKind.PARAM","include_re_string","ConditionKind.PARAM","include_re_string","","","AssertionRelation.EMPTY",""
"EntryReader","EntryReader(in charsetName filename comment_re_string include_re_string)","ConditionKind.THROWS","UnsupportedEncodingException","ConditionKind.THROWS","UnsupportedEncodingException","","","AssertionRelation.EMPTY",""
"EntryReader","EntryReader(in charsetName filename)","ConditionKind.PARAM","in","ConditionKind.PARAM","in","","","AssertionRelation.EMPTY",""
"EntryReader","EntryReader(in charsetName filename)","ConditionKind.PARAM","charsetName","ConditionKind.PARAM","charsetName","","","AssertionRelation.EMPTY",""
"EntryReader","EntryReader(in charsetName filename)","ConditionKind.PARAM","filename","ConditionKind.PARAM","filename","","","AssertionRelation.EMPTY",""
"EntryReader","EntryReader(in charsetName filename)","ConditionKind.THROWS","UnsupportedEncodingException","ConditionKind.THROWS","UnsupportedEncodingException","","","AssertionRelation.EMPTY",""
"EntryReader","EntryReader(in filename)","ConditionKind.PARAM","in","ConditionKind.PARAM","in","","","AssertionRelation.EMPTY",""
"EntryReader","EntryReader(in filename)","ConditionKind.PARAM","filename","ConditionKind.PARAM","filename","","","AssertionRelation.EMPTY",""
