"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"MathMDE","negate(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"MathMDE","negate(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"MathMDE","negate(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"MathMDE","negate(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"MathMDE","negate(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"MathMDE","negate(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"MathMDE","bitwiseComplement(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"MathMDE","bitwiseComplement(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"MathMDE","bitwiseComplement(a)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"MathMDE","bitwiseComplement(a)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"MathMDE","mul(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"MathMDE","mul(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","","AssertionRelation.EMPTY",""
"MathMDE","mul(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]*args[1];","assert true ? methodResultID==args[0]*args[1];","AssertionRelation.IDENTICAL",""
"MathMDE","mul(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"MathMDE","mul(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","","AssertionRelation.EMPTY",""
"MathMDE","mul(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]*args[1];","assert true ? methodResultID==args[0]*args[1];","AssertionRelation.IDENTICAL",""
"MathMDE","mul(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"MathMDE","mul(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","","AssertionRelation.EMPTY",""
"MathMDE","mul(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]*args[1];","assert true ? methodResultID==args[0]*args[1];","AssertionRelation.IDENTICAL",""
"MathMDE","div(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"MathMDE","div(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","","AssertionRelation.EMPTY",""
"MathMDE","div(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]/args[1];","assert true ? methodResultID==args[0]/args[1];","AssertionRelation.IDENTICAL",""
"MathMDE","div(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"MathMDE","div(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","","AssertionRelation.EMPTY",""
"MathMDE","div(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]/args[1];","assert true ? methodResultID==args[0]/args[1];","AssertionRelation.IDENTICAL",""
"MathMDE","div(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"MathMDE","div(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","","AssertionRelation.EMPTY",""
"MathMDE","div(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]/args[1];","assert true ? methodResultID==args[0]/args[1];","AssertionRelation.IDENTICAL",""
"MathMDE","mod(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"MathMDE","mod(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","","AssertionRelation.EMPTY",""
"MathMDE","mod(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]%args[1];","assert true ? methodResultID==args[0]%args[1];","AssertionRelation.IDENTICAL",""
"MathMDE","mod(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"MathMDE","mod(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","","AssertionRelation.EMPTY",""
"MathMDE","mod(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]%args[1];","assert true ? methodResultID==args[0]%args[1];","AssertionRelation.IDENTICAL",""
"MathMDE","lshift(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"MathMDE","lshift(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","","AssertionRelation.EMPTY",""
"MathMDE","lshift(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]<<args[1];","assert true ? methodResultID==args[0]<<args[1];","AssertionRelation.IDENTICAL",""
"MathMDE","lshift(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"MathMDE","lshift(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","","AssertionRelation.EMPTY",""
"MathMDE","lshift(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]<<args[1];","assert true ? methodResultID==args[0]<<args[1];","AssertionRelation.IDENTICAL",""
"MathMDE","rshiftSigned(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"MathMDE","rshiftSigned(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","","AssertionRelation.EMPTY",""
"MathMDE","rshiftSigned(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]>>args[1];","assert true ? methodResultID==args[0]>>args[1];","AssertionRelation.IDENTICAL",""
"MathMDE","rshiftSigned(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"MathMDE","rshiftSigned(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","","AssertionRelation.EMPTY",""
"MathMDE","rshiftSigned(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]>>args[1];","assert true ? methodResultID==args[0]>>args[1];","AssertionRelation.IDENTICAL",""
"MathMDE","rshiftUnsigned(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"MathMDE","rshiftUnsigned(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","","AssertionRelation.EMPTY",""
"MathMDE","rshiftUnsigned(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]>>>args[1];","assert true ? methodResultID==args[0]>>>args[1];","AssertionRelation.IDENTICAL",""
"MathMDE","rshiftUnsigned(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"MathMDE","rshiftUnsigned(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","","AssertionRelation.EMPTY",""
"MathMDE","rshiftUnsigned(x y)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID==args[0]>>>args[1];","assert true ? methodResultID==args[0]>>>args[1];","AssertionRelation.IDENTICAL",""
"MathMDE","bitwiseAnd(x y)","ConditionKind.PARAM","x","ConditionKind.PARAM","x","","","AssertionRelation.EMPTY",""
"MathMDE","bitwiseAnd(x y)","ConditionKind.PARAM","y","ConditionKind.PARAM","y","","","AssertionRelation.EMPTY",""
