"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"RegexUtil","isRegex(s groups)","ConditionKind.PARAM","s","ConditionKind.PARAM","s","","","AssertionRelation.EMPTY",""
"RegexUtil","isRegex(s groups)","ConditionKind.PARAM","groups","ConditionKind.PARAM","groups","","","AssertionRelation.EMPTY",""
"RegexUtil","isRegex(s groups)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"RegexUtil","isRegex(c)","ConditionKind.PARAM","c","ConditionKind.PARAM","c","","","AssertionRelation.EMPTY",""
"RegexUtil","isRegex(c)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"RegexUtil","regexError(s)","ConditionKind.PARAM","s","ConditionKind.PARAM","s","","","AssertionRelation.EMPTY",""
"RegexUtil","regexError(s)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"RegexUtil","regexError(s groups)","ConditionKind.PARAM","s","ConditionKind.PARAM","s","","","AssertionRelation.EMPTY",""
"RegexUtil","regexError(s groups)","ConditionKind.PARAM","groups","ConditionKind.PARAM","groups","","","AssertionRelation.EMPTY",""
"RegexUtil","regexError(s groups)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"RegexUtil","regexException(s)","ConditionKind.PARAM","s","ConditionKind.PARAM","s","","","AssertionRelation.EMPTY",""
"RegexUtil","regexException(s)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"RegexUtil","regexException(s groups)","ConditionKind.PARAM","s","ConditionKind.PARAM","s","","","AssertionRelation.EMPTY",""
"RegexUtil","regexException(s groups)","ConditionKind.PARAM","groups","ConditionKind.PARAM","groups","","","AssertionRelation.EMPTY",""
"RegexUtil","regexException(s groups)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"RegexUtil","asRegex(s groups)","ConditionKind.PARAM","s","ConditionKind.PARAM","s","","","AssertionRelation.EMPTY",""
"RegexUtil","asRegex(s groups)","ConditionKind.PARAM","groups","ConditionKind.PARAM","groups","","","AssertionRelation.EMPTY",""
"RegexUtil","asRegex(s groups)","ConditionKind.THROWS","Error","ConditionKind.THROWS","Error","assert (plume.RegexUtil.isRegex(args[0], args[1])) == false;","assert (plume.RegexUtil.isRegex(args[0],args[1])) == false;","AssertionRelation.IDENTICAL",""
"RegexUtil","asRegex(s groups)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert true?methodResultID.equals(args[0]);","assert true ? methodResultID.equals(args[0]);","AssertionRelation.IDENTICAL",""
