"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"StrTok","StrTok(s)","ConditionKind.PARAM","s","ConditionKind.PARAM","s","","","AssertionRelation.EMPTY",""
"StrTok","StrTok(s e)","ConditionKind.PARAM","s","ConditionKind.PARAM","s","","","AssertionRelation.EMPTY",""
"StrTok","StrTok(s e)","ConditionKind.PARAM","e","ConditionKind.PARAM","e","","","AssertionRelation.EMPTY",""
"StrTok","nextToken()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"StrTok","token()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"StrTok","commentChar(ch)","ConditionKind.PARAM","ch","ConditionKind.PARAM","ch","","","AssertionRelation.EMPTY",""
"StrTok","quoteChar(ch)","ConditionKind.PARAM","ch","ConditionKind.PARAM","ch","","","AssertionRelation.EMPTY",""
"StrTok","ttype()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"StrTok","need(tok)","ConditionKind.PARAM","tok","ConditionKind.PARAM","tok","","","AssertionRelation.EMPTY",""
"StrTok","need_word()","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
