"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"UtilMDE","intersectionCardinalityAtLeast(a b i)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"UtilMDE","intersectionCardinalityAtLeast(a b i)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","","AssertionRelation.EMPTY",""
"UtilMDE","intersectionCardinalityAtLeast(a b i)","ConditionKind.PARAM","i","ConditionKind.PARAM","i","","","AssertionRelation.EMPTY",""
"UtilMDE","intersectionCardinalityAtLeast(a b i)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert receiverObjectID.intersectionCardinality(args[0],args[1])>=args[2] ? methodResultID==true;","","AssertionRelation.MISSING",""
"UtilMDE","intersectionCardinalityAtLeast(a b c i)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"UtilMDE","intersectionCardinalityAtLeast(a b c i)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","","AssertionRelation.EMPTY",""
"UtilMDE","intersectionCardinalityAtLeast(a b c i)","ConditionKind.PARAM","c","ConditionKind.PARAM","c","","","AssertionRelation.EMPTY",""
"UtilMDE","intersectionCardinalityAtLeast(a b c i)","ConditionKind.PARAM","i","ConditionKind.PARAM","i","","","AssertionRelation.EMPTY",""
"UtilMDE","intersectionCardinalityAtLeast(a b c i)","ConditionKind.RETURN","","ConditionKind.RETURN","","assert receiverObjectID.intersectionCardinality(args[0],args[1],args[2])>=args[3] ? methodResultID==true;","","AssertionRelation.MISSING",""
"UtilMDE","intersectionCardinality(a b)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"UtilMDE","intersectionCardinality(a b)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","","AssertionRelation.EMPTY",""
"UtilMDE","intersectionCardinality(a b)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"UtilMDE","intersectionCardinality(a b c)","ConditionKind.PARAM","a","ConditionKind.PARAM","a","","","AssertionRelation.EMPTY",""
"UtilMDE","intersectionCardinality(a b c)","ConditionKind.PARAM","b","ConditionKind.PARAM","b","","","AssertionRelation.EMPTY",""
"UtilMDE","intersectionCardinality(a b c)","ConditionKind.PARAM","c","ConditionKind.PARAM","c","","","AssertionRelation.EMPTY",""
"UtilMDE","intersectionCardinality(a b c)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
