"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"WeakHasherMap","WeakHasherMap(initialCapacity loadFactor)","ConditionKind.PARAM","initialCapacity","ConditionKind.PARAM","initialCapacity","","","AssertionRelation.EMPTY",""
"WeakHasherMap","WeakHasherMap(initialCapacity loadFactor)","ConditionKind.PARAM","loadFactor","ConditionKind.PARAM","loadFactor","","","AssertionRelation.EMPTY",""
"WeakHasherMap","WeakHasherMap(initialCapacity loadFactor)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[0]<0 || args[1]<=0;","assert args[0]<0 || args[1]<=0;","AssertionRelation.IDENTICAL",""
"WeakHasherMap","WeakHasherMap(initialCapacity)","ConditionKind.PARAM","initialCapacity","ConditionKind.PARAM","initialCapacity","","","AssertionRelation.EMPTY",""
"WeakHasherMap","WeakHasherMap(initialCapacity)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[0]<0;","assert args[0]<0;","AssertionRelation.IDENTICAL",""
"WeakHasherMap","WeakHasherMap(h)","ConditionKind.PARAM","h","ConditionKind.PARAM","h","","","AssertionRelation.EMPTY",""
"WeakHasherMap","put(key value)","ConditionKind.PARAM","key","ConditionKind.PARAM","key","","","AssertionRelation.EMPTY",""
"WeakHasherMap","put(key value)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","","AssertionRelation.EMPTY",""
"WeakHasherMap","put(key value)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"WeakHasherMap","remove(key)","ConditionKind.PARAM","key","ConditionKind.PARAM","key","","","AssertionRelation.EMPTY",""
"WeakHasherMap","remove(key)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
