"class","method","kind_exp","name_exp","kind_gen","name_gen","expected","generated","relation","reason"
"WeakIdentityHashMap","WeakIdentityHashMap(initialCapacity loadFactor)","ConditionKind.PARAM","initialCapacity","ConditionKind.PARAM","initialCapacity","","","AssertionRelation.EMPTY",""
"WeakIdentityHashMap","WeakIdentityHashMap(initialCapacity loadFactor)","ConditionKind.PARAM","loadFactor","ConditionKind.PARAM","loadFactor","","","AssertionRelation.EMPTY",""
"WeakIdentityHashMap","WeakIdentityHashMap(initialCapacity loadFactor)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[0]<0 || args[1]<=0;","assert args[0]<0 || args[1]<=0;","AssertionRelation.IDENTICAL",""
"WeakIdentityHashMap","WeakIdentityHashMap(initialCapacity)","ConditionKind.PARAM","initialCapacity","ConditionKind.PARAM","initialCapacity","","","AssertionRelation.EMPTY",""
"WeakIdentityHashMap","WeakIdentityHashMap(initialCapacity)","ConditionKind.THROWS","IllegalArgumentException","ConditionKind.THROWS","IllegalArgumentException","assert args[0]<0;","assert args[0]<0;","AssertionRelation.IDENTICAL",""
"WeakIdentityHashMap","WeakIdentityHashMap(t)","ConditionKind.PARAM","t","ConditionKind.PARAM","t","","","AssertionRelation.EMPTY",""
"WeakIdentityHashMap","WeakIdentityHashMap(t)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"WeakIdentityHashMap","put(key value)","ConditionKind.PARAM","key","ConditionKind.PARAM","key","","","AssertionRelation.EMPTY",""
"WeakIdentityHashMap","put(key value)","ConditionKind.PARAM","value","ConditionKind.PARAM","value","","","AssertionRelation.EMPTY",""
"WeakIdentityHashMap","put(key value)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
"WeakIdentityHashMap","resize(newCapacity)","ConditionKind.PARAM","newCapacity","ConditionKind.PARAM","newCapacity","","","AssertionRelation.EMPTY",""
"WeakIdentityHashMap","putAll(m)","ConditionKind.PARAM","m","ConditionKind.PARAM","m","","","AssertionRelation.EMPTY",""
"WeakIdentityHashMap","putAll(m)","ConditionKind.THROWS","NullPointerException","ConditionKind.THROWS","NullPointerException","assert args[0]==null;","assert args[0]==null;","AssertionRelation.IDENTICAL",""
"WeakIdentityHashMap","remove(key)","ConditionKind.PARAM","key","ConditionKind.PARAM","key","","","AssertionRelation.EMPTY",""
"WeakIdentityHashMap","remove(key)","ConditionKind.RETURN","","ConditionKind.RETURN","","","","AssertionRelation.EMPTY",""
