class_fqn,param_precision,param_recall,return_precision,return_recall,throws_precision,throws_recall,overall_precision,overall_recall,overall_f1
ArrayStack,1.0,1.0,1.0,0.5,1.0,0.75,1.0,0.7142857142857143,
BagUtils,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
BoundedMap,,,1.0,1.0,,,1.0,1.0,
ClosureUtils,1.0,1.0,1.0,1.0,0.8333333333333334,0.6,0.9491525423728814,0.8484848484848485,
CollectionUtils,1.0,1.0,0.9259259259259259,0.847457627118644,1.0,0.9473684210526315,0.9818181818181818,0.9515418502202643,
FactoryUtils,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
FluentIterable,1.0,1.0,1.0,0.9285714285714286,1.0,0.875,1.0,0.9384615384615385,
PredicateUtils,1.0,1.0,0.8275862068965517,1.0,1.0,0.8666666666666667,0.9411764705882353,0.9523809523809523,
QueueUtils,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
CollectionBag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
SynchronizedBag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
FixedOrderComparator,1.0,1.0,1.0,0.8571428571428571,1.0,0.6666666666666666,1.0,0.84,
AllPredicate,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.9090909090909091,
AndPredicate,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.8888888888888888,1.0,
AnyPredicate,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.9090909090909091,
IfClosure,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
DefaultMapEntry,1.0,1.0,,,1.0,1.0,1.0,1.0,
HashedMap,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
LRUMap,1.0,1.0,1.0,1.0,0.7619047619047619,0.7619047619047619,0.9242424242424242,0.9242424242424242,
LazyMap,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
KeyAnalyzer,1.0,1.0,0.8,1.0,,,0.9473684210526315,1.0,
