class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
ArrayStack,ArrayStack(initialSize),ConditionKind.PARAM,initialSize,ConditionKind.PARAM,initialSize,,,AssertionRelation.EMPTY,
ArrayStack,ArrayStack(initialSize),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]<0;,assert args[0]<0;,AssertionRelation.IDENTICAL,
ArrayStack,empty(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert receiverObjectID.isEmpty() ? methodResultID==true:methodResultID==false;,assert receiverObjectID.isEmpty() ? methodResultID == true : methodResultID == false;,AssertionRelation.IDENTICAL,
ArrayStack,peek(),ConditionKind.THROWS,EmptyStackException,ConditionKind.THROWS,EmptyStackException,assert receiverObjectID.isEmpty();,assert receiverObjectID.isEmpty();,AssertionRelation.IDENTICAL,
ArrayStack,peek(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID.equals(receiverObjectID.peek());,,AssertionRelation.MISSING,
ArrayStack,peek(n),ConditionKind.PARAM,n,ConditionKind.PARAM,n,,,AssertionRelation.EMPTY,
ArrayStack,peek(n),ConditionKind.THROWS,EmptyStackException,ConditionKind.THROWS,EmptyStackException,assert receiverObjectID.size()<args[0];,,AssertionRelation.MISSING,
ArrayStack,peek(n),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID.equals(receiverObjectID.get(receiverObjectID.size() - args[0])-1);,,AssertionRelation.MISSING,
ArrayStack,pop(),ConditionKind.THROWS,EmptyStackException,ConditionKind.THROWS,EmptyStackException,assert receiverObjectID.isEmpty();,assert receiverObjectID.isEmpty();,AssertionRelation.IDENTICAL,
ArrayStack,pop(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
ArrayStack,push(item),ConditionKind.PARAM,item,ConditionKind.PARAM,item,,,AssertionRelation.EMPTY,
ArrayStack,push(item),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID.equals(args[0]);,assert true ? methodResultID.equals(args[0]);,AssertionRelation.IDENTICAL,
ArrayStack,search(object),ConditionKind.PARAM,object,ConditionKind.PARAM,object,,,AssertionRelation.EMPTY,
ArrayStack,search(object),ConditionKind.RETURN,,ConditionKind.RETURN,,assert receiverObjectID.contains(args[0]) ? methodResultID==receiverObjectID.indexOf(args[0])+1 : methodResultID==-1;,,AssertionRelation.MISSING,
