class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
FactoryUtils,exceptionFactory(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FactoryUtils,nullFactory(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FactoryUtils,constantFactory(constantToReturn),ConditionKind.PARAM,constantToReturn,ConditionKind.PARAM,constantToReturn,,,AssertionRelation.EMPTY,
FactoryUtils,constantFactory(constantToReturn),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FactoryUtils,prototypeFactory(prototype),ConditionKind.PARAM,prototype,ConditionKind.PARAM,prototype,,,AssertionRelation.EMPTY,
FactoryUtils,prototypeFactory(prototype),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,,AssertionRelation.EMPTY,
FactoryUtils,prototypeFactory(prototype),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FactoryUtils,instantiateFactory(classToInstantiate),ConditionKind.PARAM,classToInstantiate,ConditionKind.PARAM,classToInstantiate,,,AssertionRelation.EMPTY,
FactoryUtils,instantiateFactory(classToInstantiate),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
FactoryUtils,instantiateFactory(classToInstantiate),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FactoryUtils,instantiateFactory(classToInstantiate paramTypes args),ConditionKind.PARAM,classToInstantiate,ConditionKind.PARAM,classToInstantiate,,,AssertionRelation.EMPTY,
FactoryUtils,instantiateFactory(classToInstantiate paramTypes args),ConditionKind.PARAM,paramTypes,ConditionKind.PARAM,paramTypes,,,AssertionRelation.EMPTY,
FactoryUtils,instantiateFactory(classToInstantiate paramTypes args),ConditionKind.PARAM,args,ConditionKind.PARAM,args,,,AssertionRelation.EMPTY,
FactoryUtils,instantiateFactory(classToInstantiate paramTypes args),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
FactoryUtils,instantiateFactory(classToInstantiate paramTypes args),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,,AssertionRelation.EMPTY,
FactoryUtils,instantiateFactory(classToInstantiate paramTypes args),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,,,AssertionRelation.EMPTY,
FactoryUtils,instantiateFactory(classToInstantiate paramTypes args),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
