class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
FluentIterable,empty(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID.isEmpty()==true;,,AssertionRelation.MISSING,
FluentIterable,of(singleton),ConditionKind.PARAM,singleton,ConditionKind.PARAM,singleton,,,AssertionRelation.EMPTY,
FluentIterable,of(singleton),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID.contains(args[0])==true;,,AssertionRelation.MISSING,
FluentIterable,of(elements),ConditionKind.PARAM,elements,ConditionKind.PARAM,elements,,,AssertionRelation.EMPTY,
FluentIterable,of(elements),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FluentIterable,of(iterable),ConditionKind.PARAM,iterable,ConditionKind.PARAM,iterable,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
FluentIterable,of(iterable),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
FluentIterable,of(iterable),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FluentIterable,append(elements),ConditionKind.PARAM,elements,ConditionKind.PARAM,elements,,,AssertionRelation.EMPTY,
FluentIterable,append(elements),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FluentIterable,append(other),ConditionKind.PARAM,other,ConditionKind.PARAM,other,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
FluentIterable,append(other),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
FluentIterable,append(other),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FluentIterable,collate(other),ConditionKind.PARAM,other,ConditionKind.PARAM,other,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
FluentIterable,collate(other),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
FluentIterable,collate(other),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FluentIterable,collate(other comparator),ConditionKind.PARAM,comparator,ConditionKind.PARAM,comparator,,,AssertionRelation.EMPTY,
FluentIterable,collate(other comparator),ConditionKind.PARAM,other,ConditionKind.PARAM,other,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
FluentIterable,collate(other comparator),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
FluentIterable,collate(other comparator),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FluentIterable,eval(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FluentIterable,filter(predicate),ConditionKind.PARAM,predicate,ConditionKind.PARAM,predicate,,,AssertionRelation.EMPTY,
FluentIterable,filter(predicate),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
FluentIterable,filter(predicate),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FluentIterable,limit(maxSize),ConditionKind.PARAM,maxSize,ConditionKind.PARAM,maxSize,,,AssertionRelation.EMPTY,
FluentIterable,limit(maxSize),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]<0;,assert args[0]<0;,AssertionRelation.IDENTICAL,
FluentIterable,limit(maxSize),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FluentIterable,loop(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FluentIterable,reverse(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FluentIterable,skip(elementsToSkip),ConditionKind.PARAM,elementsToSkip,ConditionKind.PARAM,elementsToSkip,,,AssertionRelation.EMPTY,
FluentIterable,skip(elementsToSkip),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert args[0]<0;,assert args[0]<0;,AssertionRelation.IDENTICAL,
FluentIterable,skip(elementsToSkip),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FluentIterable,transform(transformer),ConditionKind.PARAM,transformer,ConditionKind.PARAM,transformer,,,AssertionRelation.EMPTY,
FluentIterable,transform(transformer),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
FluentIterable,transform(transformer),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
