class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
PredicateUtils,exceptionPredicate(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
PredicateUtils,truePredicate(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
PredicateUtils,falsePredicate(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
PredicateUtils,nullPredicate(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
PredicateUtils,notNullPredicate(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
PredicateUtils,equalPredicate(value),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,,AssertionRelation.EMPTY,
PredicateUtils,equalPredicate(value),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
PredicateUtils,identityPredicate(value),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,,AssertionRelation.EMPTY,
PredicateUtils,identityPredicate(value),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
PredicateUtils,instanceofPredicate(type),ConditionKind.PARAM,type,ConditionKind.PARAM,type,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
PredicateUtils,instanceofPredicate(type),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
PredicateUtils,instanceofPredicate(type),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
PredicateUtils,uniquePredicate(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
PredicateUtils,invokerPredicate(methodName),ConditionKind.PARAM,methodName,ConditionKind.PARAM,methodName,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
PredicateUtils,invokerPredicate(methodName),ConditionKind.THROWS,NullPointerException,ConditionKind.THROWS,NullPointerException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
PredicateUtils,invokerPredicate(methodName),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
PredicateUtils,invokerPredicate(methodName paramTypes args),ConditionKind.PARAM,methodName,ConditionKind.PARAM,methodName,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
