class_fqn,param_precision,param_recall,return_precision,return_recall,throws_precision,throws_recall,overall_precision,overall_recall,overall_f1
FunctionUtils,1.0,1.0,1.0,1.0,,0.0,1.0,0.9629629629629629,
DerivativeStructure,1.0,1.0,1.0,1.0,1.0,0.9655172413793104,1.0,0.9882352941176471,
Gaussian,1.0,1.0,,,1.0,1.0,1.0,1.0,
Logistic,1.0,1.0,,,1.0,1.0,1.0,1.0,
StepFunction,1.0,1.0,,,0.5,0.25,0.75,0.5,
IterativeLegendreGaussIntegrator,1.0,1.0,,,1.0,0.5,1.0,0.8235294117647058,
SimpsonIntegrator,1.0,1.0,,,0.5,0.3333333333333333,0.8,0.6666666666666666,
BivariateGridInterpolator,1.0,1.0,1.0,1.0,0.75,0.75,0.875,0.875,
DividedDifferenceInterpolator,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.8,0.6666666666666666,
LinearInterpolator,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.8,0.6666666666666666,
LoessInterpolator,0.6666666666666666,1.0,1.0,1.0,1.0,0.6470588235294118,0.8461538461538461,0.7857142857142857,
PolynomialFunctionNewtonForm,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.85,0.7391304347826086,
BracketingNthOrderBrentSolver,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
UnivariateSolverUtils,1.0,1.0,0.7777777777777778,1.0,1.0,1.0,0.9722222222222222,1.0,
Complex,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
LogisticDistribution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
SimpleCurveFitter,1.0,1.0,1.0,1.0,,,1.0,1.0,
BigFraction,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.9428571428571428,
Fraction,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.9827586206896551,
AbstractListChromosome,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
BinaryMutation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
CycleCrossover,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.75,
RandomKey,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.9444444444444444,
Vector,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Interval,1.0,1.0,1.0,0.8888888888888888,,,1.0,0.9230769230769231,
IntervalsSet,1.0,1.0,1.0,1.0,,,1.0,1.0,
FieldRotation,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,1.0,0.9504950495049505,
Line,1.0,1.0,1.0,1.0,0.0,0.0,0.9166666666666666,0.9166666666666666,
SubLine,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.8666666666666667,0.8666666666666667,
Vector3D,1.0,1.0,1.0,1.0,,0.0,1.0,0.9523809523809523,
Region,1.0,1.0,0.9230769230769231,0.8571428571428571,,,0.9545454545454546,0.9130434782608695,
S2Point,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.9333333333333333,
PreconditionedIterativeLinearSolver,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
RealVector,1.0,1.0,1.0,1.0,1.0,0.7027027027027027,1.0,0.9271523178807947,
SymmLQ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
ContinuousOutputModel,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
AdaptiveStepsizeIntegrator,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
EmbeddedRungeKuttaFieldIntegrator,1.0,1.0,1.0,1.0,,,1.0,1.0,
SimpleValueChecker,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
AbstractSimplex,1.0,1.0,1.0,1.0,0.875,1.0,0.9642857142857143,1.0,
UnivariateMultiStartOptimizer,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,
Primes,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.875,0.875,
BitsStreamGenerator,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.9,0.8181818181818182,
HaltonSequenceGenerator,1.0,1.0,1.0,1.0,0.8,0.8,0.9411764705882353,0.9411764705882353,
RandomAdaptor,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
RandomDataGenerator,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
DBSCANClusterer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
SummaryStatistics,1.0,1.0,1.0,0.9615384615384616,1.0,1.0,1.0,0.9795918367346939,
PSquarePercentile,1.0,1.0,1.0,1.0,0.0,0.0,0.9,0.9,
Sum,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
ArithmeticUtils,1.0,0.9782608695652174,0.96,1.0,1.0,0.9722222222222222,0.9904761904761905,0.9811320754716981,
FastMath,1.0,1.0,0.987012987012987,1.0,1.0,1.0,0.995,1.0,
KthSelector,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
