class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
PolynomialFunctionNewtonForm,PolynomialFunctionNewtonForm(a c),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,,AssertionRelation.EMPTY,
PolynomialFunctionNewtonForm,PolynomialFunctionNewtonForm(a c),ConditionKind.PARAM,c,ConditionKind.PARAM,c,,,AssertionRelation.EMPTY,
PolynomialFunctionNewtonForm,PolynomialFunctionNewtonForm(a c),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null || args[1]==null;,assert args[0]==null || args[1]==null;,AssertionRelation.IDENTICAL,
PolynomialFunctionNewtonForm,PolynomialFunctionNewtonForm(a c),ConditionKind.THROWS,NoDataException,ConditionKind.THROWS,NoDataException,assert args[0]!=null && args[0].length==0 || args[1]!=null && args[1].length==0;,assert args[0].length==0 || args[1].length==0;,AssertionRelation.STRONGER,
PolynomialFunctionNewtonForm,PolynomialFunctionNewtonForm(a c),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert ((args[0].length - args[1].length) == 1) == false;,,AssertionRelation.MISSING,
PolynomialFunctionNewtonForm,value(z),ConditionKind.PARAM,z,ConditionKind.PARAM,z,,,AssertionRelation.EMPTY,
PolynomialFunctionNewtonForm,value(z),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
PolynomialFunctionNewtonForm,degree(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
PolynomialFunctionNewtonForm,getNewtonCoefficients(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
PolynomialFunctionNewtonForm,getCenters(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
PolynomialFunctionNewtonForm,getCoefficients(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
PolynomialFunctionNewtonForm,evaluate(a c z),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,,AssertionRelation.EMPTY,
PolynomialFunctionNewtonForm,evaluate(a c z),ConditionKind.PARAM,c,ConditionKind.PARAM,c,,,AssertionRelation.EMPTY,
PolynomialFunctionNewtonForm,evaluate(a c z),ConditionKind.PARAM,z,ConditionKind.PARAM,z,,,AssertionRelation.EMPTY,
PolynomialFunctionNewtonForm,evaluate(a c z),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null || args[1]==null;,assert args[0]==null || args[1]==null;,AssertionRelation.IDENTICAL,
PolynomialFunctionNewtonForm,evaluate(a c z),ConditionKind.THROWS,NoDataException,ConditionKind.THROWS,NoDataException,assert args[0]!=null && args[0].length==0 || args[1]!=null && args[1].length==0;,assert args[0].length==0 || args[1].length==0;,AssertionRelation.STRONGER,
PolynomialFunctionNewtonForm,evaluate(a c z),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert ((args[0].lenght - args[1].length)==1) == false;,,AssertionRelation.MISSING,
PolynomialFunctionNewtonForm,evaluate(a c z),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
PolynomialFunctionNewtonForm,verifyInputArray(a c),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,,AssertionRelation.EMPTY,
PolynomialFunctionNewtonForm,verifyInputArray(a c),ConditionKind.PARAM,c,ConditionKind.PARAM,c,,,AssertionRelation.EMPTY,
PolynomialFunctionNewtonForm,verifyInputArray(a c),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null || args[1]==null;,assert args[0]==null || args[1]==null;,AssertionRelation.IDENTICAL,
PolynomialFunctionNewtonForm,verifyInputArray(a c),ConditionKind.THROWS,NoDataException,ConditionKind.THROWS,NoDataException,assert args[0]!=null && args[0].length==0 || args[1]!=null && args[1].length==0;,assert args[0].length==0 || args[1].length==0;,AssertionRelation.STRONGER,
PolynomialFunctionNewtonForm,verifyInputArray(a c),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert ((args[0].length - args[1].length)==1) == false;,,AssertionRelation.MISSING,
