class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
UnivariateSolverUtils,solve(function x0 x1),ConditionKind.PARAM,function,ConditionKind.PARAM,function,,,AssertionRelation.EMPTY,
UnivariateSolverUtils,solve(function x0 x1),ConditionKind.PARAM,x0,ConditionKind.PARAM,x0,,,AssertionRelation.EMPTY,
UnivariateSolverUtils,solve(function x0 x1),ConditionKind.PARAM,x1,ConditionKind.PARAM,x1,,,AssertionRelation.EMPTY,
UnivariateSolverUtils,solve(function x0 x1),ConditionKind.THROWS,NoBracketingException,ConditionKind.THROWS,NoBracketingException,,,AssertionRelation.EMPTY,
UnivariateSolverUtils,solve(function x0 x1),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
UnivariateSolverUtils,solve(function x0 x1),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert true ? methodResultID==0;,AssertionRelation.UNEXPECTED,
UnivariateSolverUtils,solve(function x0 x1 absoluteAccuracy),ConditionKind.PARAM,function,ConditionKind.PARAM,function,,,AssertionRelation.EMPTY,
UnivariateSolverUtils,solve(function x0 x1 absoluteAccuracy),ConditionKind.PARAM,x0,ConditionKind.PARAM,x0,,,AssertionRelation.EMPTY,
UnivariateSolverUtils,solve(function x0 x1 absoluteAccuracy),ConditionKind.PARAM,x1,ConditionKind.PARAM,x1,,,AssertionRelation.EMPTY,
UnivariateSolverUtils,solve(function x0 x1 absoluteAccuracy),ConditionKind.PARAM,absoluteAccuracy,ConditionKind.PARAM,absoluteAccuracy,,,AssertionRelation.EMPTY,
UnivariateSolverUtils,solve(function x0 x1 absoluteAccuracy),ConditionKind.THROWS,NoBracketingException,ConditionKind.THROWS,NoBracketingException,,,AssertionRelation.EMPTY,
UnivariateSolverUtils,solve(function x0 x1 absoluteAccuracy),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
UnivariateSolverUtils,solve(function x0 x1 absoluteAccuracy),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert true ? methodResultID==0;,AssertionRelation.UNEXPECTED,
UnivariateSolverUtils,forceSide(maxEval f bracketing baseRoot min max allowedSolution),ConditionKind.PARAM,maxEval,ConditionKind.PARAM,maxEval,,,AssertionRelation.EMPTY,
UnivariateSolverUtils,forceSide(maxEval f bracketing baseRoot min max allowedSolution),ConditionKind.PARAM,f,ConditionKind.PARAM,f,,,AssertionRelation.EMPTY,
