class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Complex,Complex(real),ConditionKind.PARAM,real,ConditionKind.PARAM,real,,,AssertionRelation.EMPTY,
Complex,Complex(real imaginary),ConditionKind.PARAM,real,ConditionKind.PARAM,real,,,AssertionRelation.EMPTY,
Complex,Complex(real imaginary),ConditionKind.PARAM,imaginary,ConditionKind.PARAM,imaginary,,,AssertionRelation.EMPTY,
Complex,abs(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Complex,add(addend),ConditionKind.PARAM,addend,ConditionKind.PARAM,addend,,,AssertionRelation.EMPTY,
Complex,add(addend),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
Complex,add(addend),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Complex,add(addend),ConditionKind.PARAM,addend,ConditionKind.PARAM,addend,,,AssertionRelation.EMPTY,
Complex,add(addend),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Complex,conjugate(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Complex,divide(divisor),ConditionKind.PARAM,divisor,ConditionKind.PARAM,divisor,,,AssertionRelation.EMPTY,
Complex,divide(divisor),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
Complex,divide(divisor),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Complex,divide(divisor),ConditionKind.PARAM,divisor,ConditionKind.PARAM,divisor,,,AssertionRelation.EMPTY,
Complex,divide(divisor),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Complex,equals(other),ConditionKind.PARAM,other,ConditionKind.PARAM,other,,,AssertionRelation.EMPTY,
Complex,equals(other),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Complex,equals(x y maxUlps),ConditionKind.PARAM,x,ConditionKind.PARAM,x,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
Complex,equals(x y maxUlps),ConditionKind.PARAM,y,ConditionKind.PARAM,y,assert (args[1]==null) == false;,assert (args[1]==null) == false;,AssertionRelation.IDENTICAL,
Complex,equals(x y maxUlps),ConditionKind.PARAM,maxUlps,ConditionKind.PARAM,maxUlps,,,AssertionRelation.EMPTY,
