class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
BigFraction,BigFraction(num),ConditionKind.PARAM,num,ConditionKind.PARAM,num,,,AssertionRelation.EMPTY,
BigFraction,BigFraction(num den),ConditionKind.PARAM,num,ConditionKind.PARAM,num,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
BigFraction,BigFraction(num den),ConditionKind.PARAM,den,ConditionKind.PARAM,den,assert (args[1]==null) == false;,assert (args[1]==null) == false;,AssertionRelation.IDENTICAL,
BigFraction,BigFraction(num den),ConditionKind.THROWS,ZeroException,ConditionKind.THROWS,ZeroException,assert args[1]==(org.apache.commons.math3.fraction.BigFraction.ZERO);,,AssertionRelation.MISSING,
BigFraction,BigFraction(num den),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null || args[1]==null;,assert args[0]==null || args[1]==null;,AssertionRelation.IDENTICAL,
BigFraction,BigFraction(value),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,,AssertionRelation.EMPTY,
BigFraction,BigFraction(value),ConditionKind.THROWS,MathIllegalArgumentException,ConditionKind.THROWS,MathIllegalArgumentException,assert Double.isNaN(args[0]) || Double.isInfinite(args[0]);,,AssertionRelation.MISSING,
BigFraction,BigFraction(value epsilon maxIterations),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,,AssertionRelation.EMPTY,
BigFraction,BigFraction(value epsilon maxIterations),ConditionKind.PARAM,epsilon,ConditionKind.PARAM,epsilon,,,AssertionRelation.EMPTY,
BigFraction,BigFraction(value epsilon maxIterations),ConditionKind.PARAM,maxIterations,ConditionKind.PARAM,maxIterations,,,AssertionRelation.EMPTY,
BigFraction,BigFraction(value epsilon maxIterations),ConditionKind.THROWS,FractionConversionException,ConditionKind.THROWS,FractionConversionException,,,AssertionRelation.EMPTY,
BigFraction,BigFraction(value maxDenominator),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,,AssertionRelation.EMPTY,
BigFraction,BigFraction(value maxDenominator),ConditionKind.PARAM,maxDenominator,ConditionKind.PARAM,maxDenominator,,,AssertionRelation.EMPTY,
BigFraction,BigFraction(value maxDenominator),ConditionKind.THROWS,FractionConversionException,ConditionKind.THROWS,FractionConversionException,,,AssertionRelation.EMPTY,
BigFraction,BigFraction(num),ConditionKind.PARAM,num,ConditionKind.PARAM,num,,,AssertionRelation.EMPTY,
BigFraction,BigFraction(num den),ConditionKind.PARAM,num,ConditionKind.PARAM,num,,,AssertionRelation.EMPTY,
BigFraction,BigFraction(num den),ConditionKind.PARAM,den,ConditionKind.PARAM,den,,,AssertionRelation.EMPTY,
BigFraction,BigFraction(num),ConditionKind.PARAM,num,ConditionKind.PARAM,num,,,AssertionRelation.EMPTY,
