class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
AbstractListChromosome,org.apache.commons.math3.genetics.AbstractListChromosome(representation),ConditionKind.PARAM,representation,ConditionKind.PARAM,representation,,,AssertionRelation.EMPTY,
AbstractListChromosome,org.apache.commons.math3.genetics.AbstractListChromosome(representation),ConditionKind.THROWS,InvalidRepresentationException,ConditionKind.THROWS,InvalidRepresentationException,,,AssertionRelation.EMPTY,
AbstractListChromosome,org.apache.commons.math3.genetics.AbstractListChromosome(representation),ConditionKind.PARAM,representation,ConditionKind.PARAM,representation,,,AssertionRelation.EMPTY,
AbstractListChromosome,org.apache.commons.math3.genetics.AbstractListChromosome(representation),ConditionKind.THROWS,InvalidRepresentationException,ConditionKind.THROWS,InvalidRepresentationException,,,AssertionRelation.EMPTY,
AbstractListChromosome,org.apache.commons.math3.genetics.AbstractListChromosome(representation copyList),ConditionKind.PARAM,representation,ConditionKind.PARAM,representation,,,AssertionRelation.EMPTY,
AbstractListChromosome,org.apache.commons.math3.genetics.AbstractListChromosome(representation copyList),ConditionKind.PARAM,copyList,ConditionKind.PARAM,copyList,,,AssertionRelation.EMPTY,
AbstractListChromosome,checkValidity(chromosomeRepresentation),ConditionKind.PARAM,chromosomeRepresentation,ConditionKind.PARAM,chromosomeRepresentation,,,AssertionRelation.EMPTY,
AbstractListChromosome,checkValidity(chromosomeRepresentation),ConditionKind.THROWS,InvalidRepresentationException,ConditionKind.THROWS,InvalidRepresentationException,,,AssertionRelation.EMPTY,
AbstractListChromosome,getRepresentation(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
AbstractListChromosome,getLength(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
AbstractListChromosome,newFixedLengthChromosome(chromosomeRepresentation),ConditionKind.PARAM,chromosomeRepresentation,ConditionKind.PARAM,chromosomeRepresentation,,,AssertionRelation.EMPTY,
AbstractListChromosome,newFixedLengthChromosome(chromosomeRepresentation),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
