class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Vector,getZero(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector,getNorm1(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector,getNorm(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector,getNormSq(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector,getNormInf(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector,add(v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,,AssertionRelation.EMPTY,
Vector,add(v),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector,add(factor v),ConditionKind.PARAM,factor,ConditionKind.PARAM,factor,,,AssertionRelation.EMPTY,
Vector,add(factor v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,,AssertionRelation.EMPTY,
Vector,add(factor v),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector,subtract(v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,,AssertionRelation.EMPTY,
Vector,subtract(v),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector,subtract(factor v),ConditionKind.PARAM,factor,ConditionKind.PARAM,factor,,,AssertionRelation.EMPTY,
Vector,subtract(factor v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,,AssertionRelation.EMPTY,
Vector,subtract(factor v),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector,negate(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector,normalize(),ConditionKind.THROWS,MathArithmeticException,ConditionKind.THROWS,MathArithmeticException,assert receiverObjectID.getNorm()==0;,assert receiverObjectID.getNorm()==0;,AssertionRelation.IDENTICAL,
Vector,normalize(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector,scalarMultiply(a),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,,AssertionRelation.EMPTY,
Vector,scalarMultiply(a),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector,isInfinite(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector,distance1(v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,,AssertionRelation.EMPTY,
Vector,distance1(v),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector,distance(v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,,AssertionRelation.EMPTY,
Vector,distance(v),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector,distanceInf(v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,,AssertionRelation.EMPTY,
Vector,distanceInf(v),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector,distanceSq(v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,,AssertionRelation.EMPTY,
Vector,distanceSq(v),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector,dotProduct(v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,,AssertionRelation.EMPTY,
Vector,dotProduct(v),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector,toString(format),ConditionKind.PARAM,format,ConditionKind.PARAM,format,,,AssertionRelation.EMPTY,
Vector,toString(format),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
