class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Interval,org.apache.commons.math3.geometry.euclidean.oned.Interval(lower upper),ConditionKind.PARAM,lower,ConditionKind.PARAM,lower,,,AssertionRelation.EMPTY,
Interval,org.apache.commons.math3.geometry.euclidean.oned.Interval(lower upper),ConditionKind.PARAM,upper,ConditionKind.PARAM,upper,,,AssertionRelation.EMPTY,
Interval,getInf(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Interval,getLower(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Interval,getSup(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Interval,getUpper(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Interval,getSize(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Interval,getLength(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Interval,getBarycenter(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Interval,getMidPoint(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Interval,checkPoint(point tolerance),ConditionKind.PARAM,point,ConditionKind.PARAM,point,,,AssertionRelation.EMPTY,
Interval,checkPoint(point tolerance),ConditionKind.PARAM,tolerance,ConditionKind.PARAM,tolerance,,,AssertionRelation.EMPTY,
Interval,checkPoint(point tolerance),ConditionKind.RETURN,,ConditionKind.RETURN,,assert methodResultID.equals(Location.INSIDE) || methodResultID.equals(Location.OUTSIDE) || methodResultID.equals(Location.BOUNDARY);,,AssertionRelation.MISSING,
