class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
IntervalsSet,org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(tolerance),ConditionKind.PARAM,tolerance,ConditionKind.PARAM,tolerance,,,AssertionRelation.EMPTY,
IntervalsSet,org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(lower upper tolerance),ConditionKind.PARAM,lower,ConditionKind.PARAM,lower,assert args[0]<=args[1];,assert args[0]<=args[1];,AssertionRelation.IDENTICAL,
IntervalsSet,org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(lower upper tolerance),ConditionKind.PARAM,upper,ConditionKind.PARAM,upper,assert args[1]>=args[0];,assert args[1]>=args[0];,AssertionRelation.IDENTICAL,
IntervalsSet,org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(lower upper tolerance),ConditionKind.PARAM,tolerance,ConditionKind.PARAM,tolerance,,,AssertionRelation.EMPTY,
IntervalsSet,org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(tree tolerance),ConditionKind.PARAM,tree,ConditionKind.PARAM,tree,,,AssertionRelation.EMPTY,
IntervalsSet,org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(tree tolerance),ConditionKind.PARAM,tolerance,ConditionKind.PARAM,tolerance,,,AssertionRelation.EMPTY,
IntervalsSet,org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(boundary tolerance),ConditionKind.PARAM,boundary,ConditionKind.PARAM,boundary,,,AssertionRelation.EMPTY,
IntervalsSet,org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(boundary tolerance),ConditionKind.PARAM,tolerance,ConditionKind.PARAM,tolerance,,,AssertionRelation.EMPTY,
IntervalsSet,org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(lower upper),ConditionKind.PARAM,lower,ConditionKind.PARAM,lower,assert args[0]<=args[1];,assert args[0]<=args[1];,AssertionRelation.IDENTICAL,
IntervalsSet,org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(lower upper),ConditionKind.PARAM,upper,ConditionKind.PARAM,upper,assert args[1]>=args[0];,assert args[1]>=args[0];,AssertionRelation.IDENTICAL,
IntervalsSet,org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(tree),ConditionKind.PARAM,tree,ConditionKind.PARAM,tree,,,AssertionRelation.EMPTY,
IntervalsSet,org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet(boundary),ConditionKind.PARAM,boundary,ConditionKind.PARAM,boundary,,,AssertionRelation.EMPTY,
IntervalsSet,getInf(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
IntervalsSet,getSup(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
IntervalsSet,asList(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
