class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
FieldRotation,FieldRotation(q0 q1 q2 q3 needsNormalization),ConditionKind.PARAM,q0,ConditionKind.PARAM,q0,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(q0 q1 q2 q3 needsNormalization),ConditionKind.PARAM,q1,ConditionKind.PARAM,q1,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(q0 q1 q2 q3 needsNormalization),ConditionKind.PARAM,q2,ConditionKind.PARAM,q2,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(q0 q1 q2 q3 needsNormalization),ConditionKind.PARAM,q3,ConditionKind.PARAM,q3,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(q0 q1 q2 q3 needsNormalization),ConditionKind.PARAM,needsNormalization,ConditionKind.PARAM,needsNormalization,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(axis angle),ConditionKind.PARAM,axis,ConditionKind.PARAM,axis,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(axis angle),ConditionKind.PARAM,angle,ConditionKind.PARAM,angle,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(axis angle),ConditionKind.THROWS,MathIllegalArgumentException,ConditionKind.THROWS,MathIllegalArgumentException,assert args[0].getNorm().getReal()==0;,,AssertionRelation.MISSING,
FieldRotation,FieldRotation(axis angle convention),ConditionKind.PARAM,axis,ConditionKind.PARAM,axis,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(axis angle convention),ConditionKind.PARAM,angle,ConditionKind.PARAM,angle,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(axis angle convention),ConditionKind.PARAM,convention,ConditionKind.PARAM,convention,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(axis angle convention),ConditionKind.THROWS,MathIllegalArgumentException,ConditionKind.THROWS,MathIllegalArgumentException,assert args[0].getNorm().getReal()==0;,,AssertionRelation.MISSING,
FieldRotation,FieldRotation(m threshold),ConditionKind.PARAM,m,ConditionKind.PARAM,m,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(m threshold),ConditionKind.PARAM,threshold,ConditionKind.PARAM,threshold,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(m threshold),ConditionKind.THROWS,NotARotationMatrixException,ConditionKind.THROWS,NotARotationMatrixException,assert (args[0].length != 3) || (args[0][0].length != 3) || (args[0][1].length != 3) || (args[0][2].length != 3);,,AssertionRelation.MISSING,
FieldRotation,FieldRotation(u1 u2 v1 v2),ConditionKind.PARAM,u1,ConditionKind.PARAM,u1,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(u1 u2 v1 v2),ConditionKind.PARAM,u2,ConditionKind.PARAM,u2,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(u1 u2 v1 v2),ConditionKind.PARAM,v1,ConditionKind.PARAM,v1,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(u1 u2 v1 v2),ConditionKind.PARAM,v2,ConditionKind.PARAM,v2,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(u1 u2 v1 v2),ConditionKind.THROWS,MathArithmeticException,ConditionKind.THROWS,MathArithmeticException,assert args[0].getNorm().getReal()==0 || args[1].getNorm().getReal()==0 || args[2].getNorm().getReal()==0;,,AssertionRelation.MISSING,
FieldRotation,FieldRotation(u v),ConditionKind.PARAM,u,ConditionKind.PARAM,u,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(u v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(u v),ConditionKind.THROWS,MathArithmeticException,ConditionKind.THROWS,MathArithmeticException,assert args[0].getNorm().getReal()==0 || args[1].getNorm().getReal()==0;,,AssertionRelation.MISSING,
FieldRotation,FieldRotation(order alpha1 alpha2 alpha3),ConditionKind.PARAM,order,ConditionKind.PARAM,order,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(order alpha1 alpha2 alpha3),ConditionKind.PARAM,alpha1,ConditionKind.PARAM,alpha1,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(order alpha1 alpha2 alpha3),ConditionKind.PARAM,alpha2,ConditionKind.PARAM,alpha2,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(order alpha1 alpha2 alpha3),ConditionKind.PARAM,alpha3,ConditionKind.PARAM,alpha3,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(order convention alpha1 alpha2 alpha3),ConditionKind.PARAM,order,ConditionKind.PARAM,order,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(order convention alpha1 alpha2 alpha3),ConditionKind.PARAM,convention,ConditionKind.PARAM,convention,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(order convention alpha1 alpha2 alpha3),ConditionKind.PARAM,alpha1,ConditionKind.PARAM,alpha1,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(order convention alpha1 alpha2 alpha3),ConditionKind.PARAM,alpha2,ConditionKind.PARAM,alpha2,,,AssertionRelation.EMPTY,
FieldRotation,FieldRotation(order convention alpha1 alpha2 alpha3),ConditionKind.PARAM,alpha3,ConditionKind.PARAM,alpha3,,,AssertionRelation.EMPTY,
FieldRotation,revert(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FieldRotation,getQ0(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FieldRotation,getQ1(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FieldRotation,getQ2(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FieldRotation,getQ3(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FieldRotation,getAxis(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FieldRotation,getAxis(convention),ConditionKind.PARAM,convention,ConditionKind.PARAM,convention,,,AssertionRelation.EMPTY,
FieldRotation,getAxis(convention),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FieldRotation,getAngle(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FieldRotation,getAngles(order),ConditionKind.PARAM,order,ConditionKind.PARAM,order,,,AssertionRelation.EMPTY,
FieldRotation,getAngles(order),ConditionKind.THROWS,CardanEulerSingularityException,ConditionKind.THROWS,CardanEulerSingularityException,,,AssertionRelation.EMPTY,
FieldRotation,getAngles(order),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FieldRotation,getAngles(order convention),ConditionKind.PARAM,order,ConditionKind.PARAM,order,,,AssertionRelation.EMPTY,
FieldRotation,getAngles(order convention),ConditionKind.PARAM,convention,ConditionKind.PARAM,convention,,,AssertionRelation.EMPTY,
FieldRotation,getAngles(order convention),ConditionKind.THROWS,CardanEulerSingularityException,ConditionKind.THROWS,CardanEulerSingularityException,,,AssertionRelation.EMPTY,
FieldRotation,getAngles(order convention),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FieldRotation,getMatrix(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FieldRotation,toRotation(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FieldRotation,applyTo(u),ConditionKind.PARAM,u,ConditionKind.PARAM,u,,,AssertionRelation.EMPTY,
FieldRotation,applyTo(u),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FieldRotation,applyTo(u),ConditionKind.PARAM,u,ConditionKind.PARAM,u,,,AssertionRelation.EMPTY,
FieldRotation,applyTo(u),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
FieldRotation,applyTo(in out),ConditionKind.PARAM,in,ConditionKind.PARAM,in,,,AssertionRelation.EMPTY,
FieldRotation,applyTo(in out),ConditionKind.PARAM,out,ConditionKind.PARAM,out,,,AssertionRelation.EMPTY,
