class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Vector3D,Vector3D(x y z),ConditionKind.PARAM,x,ConditionKind.PARAM,x,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(x y z),ConditionKind.PARAM,y,ConditionKind.PARAM,y,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(x y z),ConditionKind.PARAM,z,ConditionKind.PARAM,z,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(v),ConditionKind.THROWS,DimensionMismatchException,ConditionKind.THROWS,DimensionMismatchException,assert (args[0].length==3)==false;,,AssertionRelation.MISSING,
Vector3D,Vector3D(alpha delta),ConditionKind.PARAM,alpha,ConditionKind.PARAM,alpha,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(alpha delta),ConditionKind.PARAM,delta,ConditionKind.PARAM,delta,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a u),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a u),ConditionKind.PARAM,u,ConditionKind.PARAM,u,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2),ConditionKind.PARAM,a1,ConditionKind.PARAM,a1,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2),ConditionKind.PARAM,u1,ConditionKind.PARAM,u1,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2),ConditionKind.PARAM,a2,ConditionKind.PARAM,a2,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2),ConditionKind.PARAM,u2,ConditionKind.PARAM,u2,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3),ConditionKind.PARAM,a1,ConditionKind.PARAM,a1,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3),ConditionKind.PARAM,u1,ConditionKind.PARAM,u1,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3),ConditionKind.PARAM,a2,ConditionKind.PARAM,a2,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3),ConditionKind.PARAM,u2,ConditionKind.PARAM,u2,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3),ConditionKind.PARAM,a3,ConditionKind.PARAM,a3,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3),ConditionKind.PARAM,u3,ConditionKind.PARAM,u3,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3 a4 u4),ConditionKind.PARAM,a1,ConditionKind.PARAM,a1,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3 a4 u4),ConditionKind.PARAM,u1,ConditionKind.PARAM,u1,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3 a4 u4),ConditionKind.PARAM,a2,ConditionKind.PARAM,a2,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3 a4 u4),ConditionKind.PARAM,u2,ConditionKind.PARAM,u2,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3 a4 u4),ConditionKind.PARAM,a3,ConditionKind.PARAM,a3,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3 a4 u4),ConditionKind.PARAM,u3,ConditionKind.PARAM,u3,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3 a4 u4),ConditionKind.PARAM,a4,ConditionKind.PARAM,a4,,,AssertionRelation.EMPTY,
Vector3D,Vector3D(a1 u1 a2 u2 a3 u3 a4 u4),ConditionKind.PARAM,u4,ConditionKind.PARAM,u4,,,AssertionRelation.EMPTY,
Vector3D,getX(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector3D,getY(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector3D,getZ(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector3D,toArray(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector3D,getAlpha(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector3D,getDelta(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector3D,orthogonal(),ConditionKind.THROWS,MathArithmeticException,ConditionKind.THROWS,MathArithmeticException,assert receiverObjectID.getNorm()==null;,,AssertionRelation.MISSING,
Vector3D,orthogonal(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector3D,angle(v1 v2),ConditionKind.PARAM,v1,ConditionKind.PARAM,v1,,,AssertionRelation.EMPTY,
Vector3D,angle(v1 v2),ConditionKind.PARAM,v2,ConditionKind.PARAM,v2,,,AssertionRelation.EMPTY,
Vector3D,angle(v1 v2),ConditionKind.THROWS,MathArithmeticException,ConditionKind.THROWS,MathArithmeticException,assert args[0].getNorm()==null || args[1].getNorm()==null;,,AssertionRelation.MISSING,
Vector3D,angle(v1 v2),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector3D,equals(other),ConditionKind.PARAM,other,ConditionKind.PARAM,other,,,AssertionRelation.EMPTY,
Vector3D,equals(other),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector3D,hashCode(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector3D,crossProduct(v),ConditionKind.PARAM,v,ConditionKind.PARAM,v,,,AssertionRelation.EMPTY,
Vector3D,crossProduct(v),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector3D,dotProduct(v1 v2),ConditionKind.PARAM,v1,ConditionKind.PARAM,v1,,,AssertionRelation.EMPTY,
Vector3D,dotProduct(v1 v2),ConditionKind.PARAM,v2,ConditionKind.PARAM,v2,,,AssertionRelation.EMPTY,
Vector3D,dotProduct(v1 v2),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector3D,crossProduct(v1 v2),ConditionKind.PARAM,v1,ConditionKind.PARAM,v1,,,AssertionRelation.EMPTY,
Vector3D,crossProduct(v1 v2),ConditionKind.PARAM,v2,ConditionKind.PARAM,v2,,,AssertionRelation.EMPTY,
Vector3D,crossProduct(v1 v2),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector3D,distance1(v1 v2),ConditionKind.PARAM,v1,ConditionKind.PARAM,v1,,,AssertionRelation.EMPTY,
Vector3D,distance1(v1 v2),ConditionKind.PARAM,v2,ConditionKind.PARAM,v2,,,AssertionRelation.EMPTY,
Vector3D,distance1(v1 v2),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Vector3D,distance(v1 v2),ConditionKind.PARAM,v1,ConditionKind.PARAM,v1,,,AssertionRelation.EMPTY,
