class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
PreconditionedIterativeLinearSolver,org.apache.commons.math3.linear.PreconditionedIterativeLinearSolver(maxIterations),ConditionKind.PARAM,maxIterations,ConditionKind.PARAM,maxIterations,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,org.apache.commons.math3.linear.PreconditionedIterativeLinearSolver(manager),ConditionKind.PARAM,manager,ConditionKind.PARAM,manager,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,org.apache.commons.math3.linear.PreconditionedIterativeLinearSolver(manager),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
PreconditionedIterativeLinearSolver,solve(a m b x0),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,solve(a m b x0),ConditionKind.PARAM,m,ConditionKind.PARAM,m,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,solve(a m b x0),ConditionKind.PARAM,b,ConditionKind.PARAM,b,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,solve(a m b x0),ConditionKind.PARAM,x0,ConditionKind.PARAM,x0,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,solve(a m b x0),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null || args[1]==null || args[2]==null || args[3]==null;,assert args[0]==null || args[1]==null || args[2]==null || args[3]==null;,AssertionRelation.IDENTICAL,
PreconditionedIterativeLinearSolver,solve(a m b x0),ConditionKind.THROWS,NonSquareOperatorException,ConditionKind.THROWS,NonSquareOperatorException,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,solve(a m b x0),ConditionKind.THROWS,MatrixDimensionMismatchException,ConditionKind.THROWS,MatrixDimensionMismatchException,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,solve(a m b x0),ConditionKind.THROWS,MaxCountExceededException,ConditionKind.THROWS,MaxCountExceededException,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,solve(a m b x0),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,checkParameters(a m b x0),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,checkParameters(a m b x0),ConditionKind.PARAM,m,ConditionKind.PARAM,m,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,checkParameters(a m b x0),ConditionKind.PARAM,b,ConditionKind.PARAM,b,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,checkParameters(a m b x0),ConditionKind.PARAM,x0,ConditionKind.PARAM,x0,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,checkParameters(a m b x0),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null || args[1]==null || args[2]==null || args[3]==null;,assert args[0]==null || args[1]==null || args[2]==null || args[3]==null;,AssertionRelation.IDENTICAL,
PreconditionedIterativeLinearSolver,checkParameters(a m b x0),ConditionKind.THROWS,NonSquareOperatorException,ConditionKind.THROWS,NonSquareOperatorException,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,checkParameters(a m b x0),ConditionKind.THROWS,MatrixDimensionMismatchException,ConditionKind.THROWS,MatrixDimensionMismatchException,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,solve(a m b),ConditionKind.PARAM,a,ConditionKind.PARAM,a,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,solve(a m b),ConditionKind.PARAM,m,ConditionKind.PARAM,m,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,solve(a m b),ConditionKind.PARAM,b,ConditionKind.PARAM,b,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,solve(a m b),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null || args[1]==null || args[2]==null;,assert args[0]==null || args[1]==null || args[2]==null;,AssertionRelation.IDENTICAL,
PreconditionedIterativeLinearSolver,solve(a m b),ConditionKind.THROWS,NonSquareOperatorException,ConditionKind.THROWS,NonSquareOperatorException,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,solve(a m b),ConditionKind.THROWS,MatrixDimensionMismatchException,ConditionKind.THROWS,MatrixDimensionMismatchException,,,AssertionRelation.EMPTY,
PreconditionedIterativeLinearSolver,solve(a m b),ConditionKind.THROWS,MaxCountExceededException,ConditionKind.THROWS,MaxCountExceededException,,,AssertionRelation.EMPTY,
