class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
BitsStreamGenerator,next(bits),ConditionKind.PARAM,bits,ConditionKind.PARAM,bits,,,AssertionRelation.EMPTY,
BitsStreamGenerator,next(bits),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
BitsStreamGenerator,nextLong(n),ConditionKind.PARAM,n,ConditionKind.PARAM,n,assert args[0]>0;,assert args[0]>0;,AssertionRelation.IDENTICAL,
BitsStreamGenerator,nextLong(n),ConditionKind.THROWS,IllegalArgumentException,ConditionKind.THROWS,IllegalArgumentException,assert (args[0]>0) == false;,assert (args[0]>0) == false;,AssertionRelation.IDENTICAL,
BitsStreamGenerator,nextLong(n),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
BitsStreamGenerator,nextBytes(bytes),ConditionKind.PARAM,bytes,ConditionKind.PARAM,bytes,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
BitsStreamGenerator,nextBytes(bytes start len),ConditionKind.PARAM,bytes,ConditionKind.PARAM,bytes,assert (args[0]==null) == false;,assert (args[0]==null) == false;,AssertionRelation.IDENTICAL,
BitsStreamGenerator,nextBytes(bytes start len),ConditionKind.PARAM,start,ConditionKind.PARAM,start,,,AssertionRelation.EMPTY,
BitsStreamGenerator,nextBytes(bytes start len),ConditionKind.PARAM,len,ConditionKind.PARAM,len,,,AssertionRelation.EMPTY,
BitsStreamGenerator,nextBytes(bytes start len),ConditionKind.THROWS,OutOfRangeException,ConditionKind.THROWS,OutOfRangeException,assert args[1]<0 || args[0]!=null && args[1]>=args[0].length;,assert args[1]<0 || args[1]>=args[0].length;,AssertionRelation.STRONGER,
BitsStreamGenerator,nextBytes(bytes start len),ConditionKind.THROWS,OutOfRangeException,ConditionKind.THROWS,OutOfRangeException,assert args[2]<0 || args[0]!=null && args[2]>(args[0].length - args[1]);,,AssertionRelation.MISSING,
