class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
SummaryStatistics,org.apache.commons.math3.stat.descriptive.SummaryStatistics(original),ConditionKind.PARAM,original,ConditionKind.PARAM,original,,,AssertionRelation.EMPTY,
SummaryStatistics,org.apache.commons.math3.stat.descriptive.SummaryStatistics(original),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
SummaryStatistics,getSummary(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
SummaryStatistics,addValue(value),ConditionKind.PARAM,value,ConditionKind.PARAM,value,,,AssertionRelation.EMPTY,
SummaryStatistics,getN(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
SummaryStatistics,getSum(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
SummaryStatistics,getSumsq(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
SummaryStatistics,getMean(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
SummaryStatistics,getStandardDeviation(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
SummaryStatistics,getQuadraticMean(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
SummaryStatistics,getVariance(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
SummaryStatistics,getPopulationVariance(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
SummaryStatistics,getMax(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
SummaryStatistics,getMin(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
SummaryStatistics,getGeometricMean(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
SummaryStatistics,getSumOfLogs(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
SummaryStatistics,getSecondMoment(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
SummaryStatistics,toString(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
SummaryStatistics,equals(object),ConditionKind.PARAM,object,ConditionKind.PARAM,object,,,AssertionRelation.EMPTY,
SummaryStatistics,equals(object),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
SummaryStatistics,hashCode(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
SummaryStatistics,getSumImpl(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
SummaryStatistics,setSumImpl(sumImpl),ConditionKind.PARAM,sumImpl,ConditionKind.PARAM,sumImpl,,,AssertionRelation.EMPTY,
SummaryStatistics,setSumImpl(sumImpl),ConditionKind.THROWS,MathIllegalStateException,ConditionKind.THROWS,MathIllegalStateException,,,AssertionRelation.EMPTY,
SummaryStatistics,getSumsqImpl(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
SummaryStatistics,setSumsqImpl(sumsqImpl),ConditionKind.PARAM,sumsqImpl,ConditionKind.PARAM,sumsqImpl,,,AssertionRelation.EMPTY,
SummaryStatistics,setSumsqImpl(sumsqImpl),ConditionKind.THROWS,MathIllegalStateException,ConditionKind.THROWS,MathIllegalStateException,,,AssertionRelation.EMPTY,
SummaryStatistics,getMinImpl(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
SummaryStatistics,setMinImpl(minImpl),ConditionKind.PARAM,minImpl,ConditionKind.PARAM,minImpl,,,AssertionRelation.EMPTY,
