class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
PSquarePercentile,org.apache.commons.math3.stat.descriptive.rank.PSquarePercentile(p),ConditionKind.PARAM,p,ConditionKind.PARAM,p,,,AssertionRelation.EMPTY,
PSquarePercentile,org.apache.commons.math3.stat.descriptive.rank.PSquarePercentile(p),ConditionKind.THROWS,OutOfRangeException,ConditionKind.THROWS,OutOfRangeException,assert (args[0]>0) == false || (args[0]<=100)==false;,assert (args[0]>0) == false && args[0]<=100;,AssertionRelation.WEAKER,
PSquarePercentile,equals(o),ConditionKind.PARAM,o,ConditionKind.PARAM,o,,,AssertionRelation.EMPTY,
PSquarePercentile,equals(o),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
PSquarePercentile,increment(observation),ConditionKind.PARAM,observation,ConditionKind.PARAM,observation,,,AssertionRelation.EMPTY,
PSquarePercentile,toString(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
PSquarePercentile,quantile(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
PSquarePercentile,newMarkers(initialFive p),ConditionKind.PARAM,initialFive,ConditionKind.PARAM,initialFive,,,AssertionRelation.EMPTY,
PSquarePercentile,newMarkers(initialFive p),ConditionKind.PARAM,p,ConditionKind.PARAM,p,,,AssertionRelation.EMPTY,
PSquarePercentile,newMarkers(initialFive p),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
