class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Sum,org.apache.commons.math3.stat.descriptive.summary.Sum(original),ConditionKind.PARAM,original,ConditionKind.PARAM,original,,,AssertionRelation.EMPTY,
Sum,org.apache.commons.math3.stat.descriptive.summary.Sum(original),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
Sum,evaluate(values begin length),ConditionKind.PARAM,values,ConditionKind.PARAM,values,,,AssertionRelation.EMPTY,
Sum,evaluate(values begin length),ConditionKind.PARAM,begin,ConditionKind.PARAM,begin,,,AssertionRelation.EMPTY,
Sum,evaluate(values begin length),ConditionKind.PARAM,length,ConditionKind.PARAM,length,,,AssertionRelation.EMPTY,
Sum,evaluate(values begin length),ConditionKind.THROWS,MathIllegalArgumentException,ConditionKind.THROWS,MathIllegalArgumentException,assert args[0]==null;,assert args[0]==null;,AssertionRelation.IDENTICAL,
Sum,evaluate(values begin length),ConditionKind.RETURN,,ConditionKind.RETURN,,assert args[2]==0 ? methodResultID==0;,assert args[2]==0 ? methodResultID==0;,AssertionRelation.IDENTICAL,
Sum,evaluate(values weights begin length),ConditionKind.PARAM,values,ConditionKind.PARAM,values,,,AssertionRelation.EMPTY,
Sum,evaluate(values weights begin length),ConditionKind.PARAM,weights,ConditionKind.PARAM,weights,,,AssertionRelation.EMPTY,
Sum,evaluate(values weights begin length),ConditionKind.PARAM,begin,ConditionKind.PARAM,begin,,,AssertionRelation.EMPTY,
Sum,evaluate(values weights begin length),ConditionKind.PARAM,length,ConditionKind.PARAM,length,,,AssertionRelation.EMPTY,
Sum,evaluate(values weights begin length),ConditionKind.THROWS,MathIllegalArgumentException,ConditionKind.THROWS,MathIllegalArgumentException,,,AssertionRelation.EMPTY,
Sum,evaluate(values weights begin length),ConditionKind.RETURN,,ConditionKind.RETURN,,assert args[3]==0 ? methodResultID==0;,assert args[3]==0 ? methodResultID==0;,AssertionRelation.IDENTICAL,
Sum,evaluate(values weights),ConditionKind.PARAM,values,ConditionKind.PARAM,values,,,AssertionRelation.EMPTY,
Sum,evaluate(values weights),ConditionKind.PARAM,weights,ConditionKind.PARAM,weights,,,AssertionRelation.EMPTY,
Sum,evaluate(values weights),ConditionKind.THROWS,MathIllegalArgumentException,ConditionKind.THROWS,MathIllegalArgumentException,,,AssertionRelation.EMPTY,
Sum,evaluate(values weights),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Sum,copy(source dest),ConditionKind.PARAM,source,ConditionKind.PARAM,source,,,AssertionRelation.EMPTY,
Sum,copy(source dest),ConditionKind.PARAM,dest,ConditionKind.PARAM,dest,,,AssertionRelation.EMPTY,
Sum,copy(source dest),ConditionKind.THROWS,NullArgumentException,ConditionKind.THROWS,NullArgumentException,assert args[0]==null || args[1]==null;,assert args[0]==null || args[1]==null;,AssertionRelation.IDENTICAL,
