class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
IndianNationType,net.sf.freecol.common.model.IndianNationType(id specification),ConditionKind.PARAM,id,ConditionKind.PARAM,id,,,AssertionRelation.EMPTY,
IndianNationType,net.sf.freecol.common.model.IndianNationType(id specification),ConditionKind.PARAM,specification,ConditionKind.PARAM,specification,,,AssertionRelation.EMPTY,
IndianNationType,isEuropean(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID==false;,assert true ? methodResultID==false;,AssertionRelation.IDENTICAL,
IndianNationType,isIndian(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID==true;,assert true ? methodResultID==true;,AssertionRelation.IDENTICAL,
IndianNationType,isREF(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert true ? methodResultID==false;,assert true ? methodResultID==false;,AssertionRelation.IDENTICAL,
IndianNationType,getSettlementTypeKey(plural),ConditionKind.PARAM,plural,ConditionKind.PARAM,plural,,,AssertionRelation.EMPTY,
IndianNationType,getSettlementTypeKey(plural),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
IndianNationType,getRegionNames(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
IndianNationType,getSkills(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
IndianNationType,generateSkillsForTile(tile),ConditionKind.PARAM,tile,ConditionKind.PARAM,tile,,,AssertionRelation.EMPTY,
IndianNationType,generateSkillsForTile(tile),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
IndianNationType,getXMLElementTagName(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
