class,method,kind_exp,name_exp,kind_gen,name_gen,expected,generated,relation,reason
Unit,Unit(game),ConditionKind.PARAM,game,ConditionKind.PARAM,game,,,AssertionRelation.EMPTY,
Unit,Unit(game e),ConditionKind.PARAM,game,ConditionKind.PARAM,game,,,AssertionRelation.EMPTY,
Unit,Unit(game e),ConditionKind.PARAM,e,ConditionKind.PARAM,e,,,AssertionRelation.EMPTY,
Unit,Unit(game id),ConditionKind.PARAM,game,ConditionKind.PARAM,game,,,AssertionRelation.EMPTY,
Unit,Unit(game id),ConditionKind.PARAM,id,ConditionKind.PARAM,id,,,AssertionRelation.EMPTY,
Unit,getName(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,setName(newName),ConditionKind.PARAM,newName,ConditionKind.PARAM,newName,,,AssertionRelation.EMPTY,
Unit,getApparentOwnerName(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,getLabel(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,getLabel(ult),ConditionKind.PARAM,ult,ConditionKind.PARAM,ult,,,AssertionRelation.EMPTY,
Unit,getLabel(ult),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,getDescription(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,getDescription(ult),ConditionKind.PARAM,ult,ConditionKind.PARAM,ult,,,AssertionRelation.EMPTY,
Unit,getDescription(ult),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,getCombatLabel(tile),ConditionKind.PARAM,tile,ConditionKind.PARAM,tile,,,AssertionRelation.EMPTY,
Unit,getCombatLabel(tile),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,getDestinationLabel(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,getDestinationLabel(tag destination player),ConditionKind.PARAM,tag,ConditionKind.PARAM,tag,,,AssertionRelation.EMPTY,
Unit,getDestinationLabel(tag destination player),ConditionKind.PARAM,destination,ConditionKind.PARAM,destination,,,AssertionRelation.EMPTY,
Unit,getDestinationLabel(tag destination player),ConditionKind.PARAM,player,ConditionKind.PARAM,player,,,AssertionRelation.EMPTY,
Unit,getDestinationLabel(tag destination player),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,getRepairLabel(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,getType(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,setType(unitType),ConditionKind.PARAM,unitType,ConditionKind.PARAM,unitType,,,AssertionRelation.EMPTY,
Unit,changeType(unitType),ConditionKind.PARAM,unitType,ConditionKind.PARAM,unitType,,,AssertionRelation.EMPTY,
Unit,changeType(unitType),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,isNaval(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,isUndead(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,canCarryTreasure(),ConditionKind.RETURN,,ConditionKind.RETURN,,,assert receiverObjectID.canCarryUnits() ? methodResultID == true : methodResultID == false;,AssertionRelation.UNEXPECTED,
Unit,canCaptureGoods(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,isTradingUnit(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,isColonist(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,isCarrier(),ConditionKind.RETURN,,ConditionKind.RETURN,,assert (receiverObjectID.canCarryGoods() || receiverObjectID.canCarryUnits()) ? methodResultID==true:methodResultID==false;,assert receiverObjectID.canCarryGoods() ? methodResultID == true : methodResultID == false;,AssertionRelation.UNSUPPORTED,b'Sort mismatch at argument #1 for function (declare-fun or (Bool Bool) Bool) supplied sort is Ref'
Unit,isPerson(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,getState(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,checkSetState(s),ConditionKind.PARAM,s,ConditionKind.PARAM,s,,,AssertionRelation.EMPTY,
Unit,checkSetState(s),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,setState(s),ConditionKind.PARAM,s,ConditionKind.PARAM,s,,,AssertionRelation.EMPTY,
Unit,setStateUnchecked(s),ConditionKind.PARAM,s,ConditionKind.PARAM,s,,,AssertionRelation.EMPTY,
Unit,setStateToAllChildren(state),ConditionKind.PARAM,state,ConditionKind.PARAM,state,,,AssertionRelation.EMPTY,
Unit,changeOwner(owner),ConditionKind.PARAM,owner,ConditionKind.PARAM,owner,,,AssertionRelation.EMPTY,
Unit,getRole(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,setRole(role),ConditionKind.PARAM,role,ConditionKind.PARAM,role,,,AssertionRelation.EMPTY,
Unit,getRoleCount(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,setRoleCount(roleCount),ConditionKind.PARAM,roleCount,ConditionKind.PARAM,roleCount,,,AssertionRelation.EMPTY,
Unit,hasDefaultRole(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,getRoleSuffix(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,changeRole(role roleCount),ConditionKind.PARAM,role,ConditionKind.PARAM,role,,,AssertionRelation.EMPTY,
Unit,changeRole(role roleCount),ConditionKind.PARAM,roleCount,ConditionKind.PARAM,roleCount,,,AssertionRelation.EMPTY,
Unit,changeRoleCount(delta),ConditionKind.PARAM,delta,ConditionKind.PARAM,delta,,,AssertionRelation.EMPTY,
Unit,changeRoleCount(delta),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,roleIsAvailable(role),ConditionKind.PARAM,role,ConditionKind.PARAM,role,,,AssertionRelation.EMPTY,
Unit,roleIsAvailable(role),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,getAvailableRoles(roles),ConditionKind.PARAM,roles,ConditionKind.PARAM,roles,,,AssertionRelation.EMPTY,
Unit,getAvailableRoles(roles),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,getMilitaryRole(),ConditionKind.RETURN,,ConditionKind.RETURN,,,,AssertionRelation.EMPTY,
Unit,getGoodsDifference(role roleCount),ConditionKind.PARAM,role,ConditionKind.PARAM,role,,,AssertionRelation.EMPTY,
